# a6 per-cell WPs tightened on table_v1jparity.txt: target=0.8 targetDisp=0.85 dcaSplit=0.5
# branch lenBin etaBin threshold
0 0 0 2.304360
0 0 1 2.304360
0 0 2 2.304360
0 1 0 1.613960
0 1 1 1.613960
0 1 2 1.613960
0 2 0 1.690070
0 2 1 1.690070
0 2 2 1.690070
1 0 0 1000000000.000000
1 0 1 1000000000.000000
1 0 2 1000000000.000000
1 1 0 3.275950
1 1 1 3.275950
1 1 2 3.275950
1 2 0 7.005320
1 2 1 7.005320
1 2 2 7.005320
