# a6 per-cell WPs tightened on table_v1jparity.txt: target=0.9 targetDisp=0.925 dcaSplit=0.5
# branch lenBin etaBin threshold
0 0 0 2.107630
0 0 1 2.091960
0 0 2 2.173950
0 1 0 1.252920
0 1 1 1.243290
0 1 2 1.652520
0 2 0 1.143960
0 2 1 0.843020
0 2 2 1.053410
1 0 0 1000000000.000000
1 0 1 1000000000.000000
1 0 2 1000000000.000000
1 1 0 2.703910
1 1 1 3.342440
1 1 2 4.049200
1 2 0 5.100130
1 2 1 6.542910
1 2 2 8.798560
