# a6 joint per-cell WPs: targets=0.99,0.995,0.998,0.999 dcaSplit=0.5 t4Floor=0.0 rounds=4
# branch lenBin etaBin threshold
0 0 0 1000000000.000000
0 0 1 1000000000.000000
0 0 2 1000000000.000000
0 1 0 1000000000.000000
0 1 1 1000000000.000000
0 1 2 1000000000.000000
0 2 0 1000000000.000000
0 2 1 1000000000.000000
0 2 2 1000000000.000000
1 0 0 1000000000.000000
1 0 1 1000000000.000000
1 0 2 1000000000.000000
1 1 0 1000000000.000000
1 1 1 1000000000.000000
1 1 2 1000000000.000000
1 2 0 1000000000.000000
1 2 1 1000000000.000000
1 2 2 -1000000000000000019884624838656.000000
