# a6 per-cell WPs tightened on table_v1jparity.txt: target=0.97 targetDisp=0.995 dcaSplit=0.5
# branch lenBin etaBin threshold
0 0 0 2.031670
0 0 1 2.031540
0 0 2 2.004150
0 1 0 1.021350
0 1 1 1.020900
0 1 2 1.058980
0 2 0 0.141110
0 2 1 0.219780
0 2 2 0.183030
1 0 0 1000000000.000000
1 0 1 1000000000.000000
1 0 2 1000000000.000000
1 1 0 2.512310
1 1 1 2.585570
1 1 2 2.783390
1 2 0 3.453690
1 2 1 4.029110
1 2 2 5.447600
