# a6 per-cell WPs: target=0.98 targetDisp=0.995 dcaSplit=0.5 t4Floor=0.0 exemptT4Kill=False
# branch lenBin etaBin threshold
0 0 0 -2.703550
0 0 1 -2.472000
0 0 2 -2.765230
0 1 0 -2.712220
0 1 1 -1.484670
0 1 2 -1.522880
0 2 0 -1.813610
0 2 1 -1.993500
0 2 2 -2.494150
1 0 0 2.016160
1 0 1 2.043020
1 0 2 2.072290
1 1 0 2.534300
1 1 1 2.585570
1 1 2 2.822780
1 2 0 3.465940
1 2 1 4.397310
1 2 2 5.447600
