# a6 joint per-cell WPs: targets=0.99,0.995,0.998,0.999 dcaSplit=0.5 t4Floor=0.0 rounds=4 cellCap=0.99
# branch lenBin etaBin threshold
0 0 0 -2.703550
0 0 1 -2.141540
0 0 2 -1.539130
0 1 0 -1.969720
0 1 1 -1.433330
0 1 2 -0.539650
0 2 0 -1.334200
0 2 1 -0.580580
0 2 2 -1.194700
1 0 0 2.017090
1 0 1 2.038430
1 0 2 2.021430
1 1 0 2.506910
1 1 1 2.520040
1 1 2 2.831210
1 2 0 3.521530
1 2 1 4.362240
1 2 2 5.987100
