tag                     eff    vxy01    vxy15   vxy510  vxy1030    dxy15   dxy510  dxy1030     fake      dup      nhB      nhT      nhE  floors
bk2_a80_w035         0.8088   0.8416   0.7951   0.7240   0.7141   0.5590   0.2491   0.0235   0.0483   0.0648   9.9418   9.8770   3.6409  PASS
bk9_t5_w025          0.8087   0.8416   0.7929   0.7224   0.7092   0.5461   0.2351   0.0235   0.0463   0.0607   9.9241   9.8335   3.5559  FAIL:dxy510
bk1_t5_w032          0.8087   0.8417   0.7929   0.7256   0.7132   0.5558   0.2386   0.0235   0.0473   0.0647   9.8963   9.7996   3.5727  FAIL:dxy510
bk3_a2               0.8085   0.8414   0.7943   0.7224   0.7141   0.5590   0.2526   0.0235   0.0488   0.0647   9.9461   9.9057   3.6319  PASS
bk10_t5_w030         0.8084   0.8412   0.7929   0.7192   0.7149   0.5569   0.2421   0.0256   0.0468   0.0629   9.8894   9.7650   3.5650  FAIL:dxy510
bk1_t5_w025          0.8083   0.8412   0.7936   0.7256   0.7116   0.5515   0.2386   0.0235   0.0461   0.0613   9.8954   9.7969   3.5556  FAIL:dxy510
bk1_t5_w028          0.8083   0.8412   0.7929   0.7256   0.7124   0.5536   0.2386   0.0235   0.0468   0.0627   9.8958   9.7975   3.5634  FAIL:dxy510
bk1_t5_w030          0.8083   0.8412   0.7929   0.7256   0.7124   0.5536   0.2386   0.0235   0.0468   0.0627   9.8958   9.7975   3.5638  FAIL:dxy510
bk1_a2_t5            0.8083   0.8411   0.7943   0.7224   0.7141   0.5590   0.2526   0.0235   0.0489   0.0647   9.9549   9.9105   3.6495  PASS
bk1_t5_a40_w025      0.8083   0.8411   0.7943   0.7256   0.7124   0.5526   0.2351   0.0235   0.0461   0.0617   9.8699   9.7435   3.5192  FAIL:dxy510
bk2_a40              0.8083   0.8410   0.7958   0.7271   0.7141   0.5579   0.2491   0.0235   0.0487   0.0647   9.9576   9.9077   3.6542  PASS
bk1_t5_a5_w025       0.8081   0.8409   0.7936   0.7240   0.7108   0.5504   0.2386   0.0235   0.0462   0.0609   9.9179   9.8404   3.5870  FAIL:dxy510
bk1_t5_a20_w025      0.8081   0.8409   0.7943   0.7256   0.7124   0.5526   0.2351   0.0235   0.0461   0.0615   9.8796   9.7629   3.5328  FAIL:dxy510
bk5_a10_t5           0.8079   0.8407   0.7936   0.7240   0.7100   0.5536   0.2491   0.0235   0.0493   0.0645   9.9705   9.9365   3.6581  PASS
bk11_b3              0.8079   0.8408   0.7922   0.7256   0.7108   0.5504   0.2491   0.0235   0.0490   0.0654   9.9337   9.8754   3.5947  PASS
bk1_a10_t2           0.8078   0.8406   0.7936   0.7271   0.7116   0.5569   0.2491   0.0235   0.0492   0.0646   9.9767   9.9233   3.6598  PASS
bk11_b2_w030         0.8076   0.8407   0.7880   0.7256   0.7092   0.5472   0.2386   0.0235   0.0472   0.0627   9.9065   9.8358   3.5538  FAIL:dxy510
bk1_t3_w025          0.8075   0.8404   0.7929   0.7271   0.7100   0.5504   0.2386   0.0235   0.0465   0.0606   9.9446   9.8755   3.6174  FAIL:dxy510
bk1_t3_w030          0.8075   0.8404   0.7922   0.7271   0.7108   0.5526   0.2386   0.0235   0.0473   0.0623   9.9450   9.8759   3.6274  FAIL:dxy510
bk1_t5_w020          0.8074   0.8401   0.7936   0.7208   0.7051   0.5429   0.2351   0.0235   0.0430   0.0578   9.8948   9.7929   3.5372  FAIL:dxy510
bk2_a20              0.8071   0.8399   0.7929   0.7240   0.7124   0.5569   0.2491   0.0235   0.0495   0.0645   9.9849   9.9383   3.6646  PASS
bk1_t2_w025          0.8065   0.8394   0.7908   0.7271   0.7083   0.5494   0.2386   0.0235   0.0473   0.0605   9.9742   9.9199   3.6362  FAIL:dxy510
bk3_a1               0.8064   0.8391   0.7922   0.7192   0.7100   0.5504   0.2526   0.0235   0.0503   0.0644   9.9829   9.9477   3.6604  PASS
bk2_a10              0.8054   0.8382   0.7894   0.7224   0.7108   0.5547   0.2526   0.0235   0.0508   0.0644  10.0156   9.9642   3.6729  PASS
bk7_t1               0.8041   0.8369   0.7859   0.7177   0.7002   0.5451   0.2456   0.0235   0.0521   0.0642  10.0306   9.9781   3.6750  FAIL:dxy510
bk2_a5               0.8039   0.8366   0.7873   0.7177   0.7059   0.5494   0.2526   0.0235   0.0522   0.0643  10.0325   9.9776   3.6772  PASS
bk1_a10_t0           0.8025   0.8352   0.7866   0.7161   0.7026   0.5461   0.2526   0.0235   0.0530   0.0643  10.0395   9.9816   3.6780  PASS
base                 0.8017   0.8344   0.7852   0.7129   0.6961   0.5418   0.2491   0.0235   0.0536   0.0643  10.0439   9.9858   3.6790  PASS
bk9_t0               0.8012   0.8338   0.7852   0.7114   0.6928   0.5365   0.2491   0.0235   0.0542   0.0642  10.0456   9.9900   3.6805  FAIL:vxy1030,dxy15
bk6                  0.7989   0.8315   0.7830   0.7129   0.6846   0.5236   0.2491   0.0235   0.0556   0.0638  10.0831  10.0334   3.6990  FAIL:vxy15,vxy1030,dxy15
-----------------------------------------------------------------------------------------------------------------------------------------------
CTL(anchor)          0.8017   0.8344   0.7852   0.7129   0.6961   0.5418   0.2491      nan   0.0536   0.0643      nan      nan      nan
LST(base300)         0.8136   0.8473   0.7731   0.6530   0.6291   0.4989   0.2281   0.0470   0.0455   0.0513  10.1506  10.0098   3.5594
FLOOR                   nan      nan   0.7832   0.7109   0.6941   0.5398   0.2471      nan      nan      nan      nan      nan      nan
