
### delivery class x type
cell                                                   N    N/evt    fake%     dup%  f-or-d%
('chain/T5', 3)                                    50668    51.86    10.91     3.58    14.49
('chain/T4', 4)                                    10306    10.55    65.68     3.64    69.32
('chain/T5', 4)                                    38695    39.61    11.41     3.62    15.03
('chain/T4', 0)                                    11290    11.56     8.60    34.66    43.26
('chain/T5', 2)                                    40553    41.51     5.99     5.32    11.31
('chain/T5', 1)                                    31793    32.54     6.40     7.84    14.24
('chain/T5', 0)                                    10418    10.66     8.12    10.53    18.65
('attachT5/pT5', 1)                               110602   113.21     0.76     0.89     1.65
('attachT5/pT5', 2)                                74702    76.46     0.99     0.91     1.90
('attachT5/pT5', 5)                                90632    92.77     0.63     0.53     1.16
('attachT5/pT5', 3)                                56531    57.86     1.17     0.65     1.81
('chain/T4', 3)                                     1607     1.64    17.11    32.30    49.41
('attachT5/pT5', 0)                                29634    30.33     1.14     1.39     2.53
('attachT5/pT5', 6)                               133349   136.49     0.33     0.14     0.47
('attachT5/pT5', 4)                                29224    29.91     1.02     1.07     2.09
('chain/T4', 1)                                     1240     1.27    22.02    23.95    45.97
('chain/T4', 2)                                     1086     1.11    21.09    25.32    46.41

### x chain MD count (dbgNMD)
cell                                                   N    N/evt    fake%     dup%  f-or-d%
('carried/pLS', 0)                                592016   605.95     4.80     9.21    14.02
('chain/T5', 5)                                   170171   174.18    14.08     6.18    20.26
('attachT3/pT3', 0)                                91813    93.97    17.76     1.60    19.36
('zp8pLS/pLS', 0)                                  21040    21.54     6.00    66.90    72.89
('chain/T4', 4)                                    25529    26.13    33.36    21.07    54.43
('chain/T5', 6)                                   146333   149.78     4.10     5.36     9.46
('attachT5/pT5', 5)                               234291   239.81     0.92     0.87     1.80
('attachT5/pT5', 6)                               274158   280.61     0.60     0.45     1.05
('chain/T5', 7)                                     6881     7.04     1.96     5.23     7.19
('attachT5/pT5', 7)                                16225    16.61     0.52     0.89     1.41

### x (nMD - 2*nLayers)  [double-hit layers]
cell                                                   N    N/evt    fake%     dup%  f-or-d%
('carried/pLS', None)                             592016   605.95     4.80     9.21    14.02
('chain/T5', -5)                                  170171   174.18    14.08     6.18    20.26
('attachT3/pT3', None)                             91813    93.97    17.76     1.60    19.36
('zp8pLS/pLS', None)                               21040    21.54     6.00    66.90    72.89
('chain/T4', -4)                                   25529    26.13    33.36    21.07    54.43
('chain/T5', -6)                                  146333   149.78     4.10     5.36     9.46
('attachT5/pT5', -5)                              234291   239.81     0.92     0.87     1.80
('attachT5/pT5', -6)                              274158   280.61     0.60     0.45     1.05
('chain/T5', -7)                                    6881     7.04     1.96     5.23     7.19
('attachT5/pT5', -7)                               16225    16.61     0.52     0.89     1.41

### x int(pt) capped 6
cell                                                   N    N/evt    fake%     dup%  f-or-d%
('carried/pLS', 1)                                380086   389.03     3.94     9.01    12.95
('chain/T5', 1)                                   192854   197.39     9.38     4.93    14.31
('carried/pLS', 0)                                111326   113.95     4.54     8.54    13.08
('attachT3/pT3', 1)                                58374    59.75    18.78     1.57    20.36
('carried/pLS', 2)                                 68321    69.93     4.78    10.16    14.94
('chain/T5', 0)                                    70267    71.92     7.30     5.10    12.40
('chain/T4', 1)                                    15515    15.88    31.21    21.90    53.12
('zp8pLS/pLS', 1)                                   9962    10.20     6.92    61.93    68.84
('attachT5/pT5', 1)                               356543   364.94     0.77     0.66     1.43
('chain/T5', 2)                                    29800    30.50    11.75     4.28    16.03
('chain/T5', 6)                                    11209    11.47    10.04    30.03    40.07
('carried/pLS', 3)                                 17747    18.16     7.93    11.85    19.78
('zp8pLS/pLS', 6)                                   3754     3.84     3.41    89.32    92.73
('attachT3/pT3', 0)                                23440    23.99    12.15     1.37    13.52
('carried/pLS', 6)                                  5718     5.85    41.73    10.27    51.99
('zp8pLS/pLS', 0)                                   4155     4.25     5.13    63.13    68.26
('chain/T4', 0)                                     4919     5.03    20.96    25.57    46.53
('chain/T4', 2)                                     3161     3.24    44.57    17.27    61.85
('chain/T5', 3)                                    10785    11.04    11.83     4.72    16.55
('attachT3/pT3', 2)                                 6911     7.07    21.99     1.87    23.86
('carried/pLS', 4)                                  6017     6.16    13.31    12.46    25.78
('zp8pLS/pLS', 2)                                   1785     1.83     7.68    58.66    66.33
('attachT5/pT5', 0)                                64593    66.11     1.05     0.70     1.75
('carried/pLS', 5)                                  2801     2.87    19.53    14.46    33.99
('chain/T5', 4)                                     5231     5.35    11.95     4.87    16.82
('attachT5/pT5', 2)                                77398    79.22     0.48     0.56     1.04
('chain/T4', 3)                                      919     0.94    57.78    11.86    69.64
('attachT3/pT3', 3)                                 1792     1.83    31.08     2.40    33.48
('chain/T5', 5)                                     3239     3.32    10.50     7.10    17.60
('zp8pLS/pLS', 3)                                    673     0.69     7.28    59.44    66.72
('chain/T4', 4)                                      418     0.43    65.31     7.89    73.21
('chain/T4', 6)                                      382     0.39    72.77     4.97    77.75
('zp8pLS/pLS', 4)                                    395     0.40     7.85    63.04    70.89
('zp8pLS/pLS', 5)                                    316     0.32     4.75    74.05    78.80
('attachT3/pT3', 4)                                  642     0.66    31.93     2.65    34.58
('chain/T4', 5)                                      215     0.22    70.70     7.44    78.14
('attachT5/pT5', 3)                                18167    18.59     0.31     0.58     0.89
('attachT3/pT3', 6)                                  423     0.43    29.79     8.04    37.83
('attachT3/pT3', 5)                                  231     0.24    37.23     3.03    40.26
('attachT5/pT5', 4)                                 4642     4.75     0.19     0.71     0.90
('attachT5/pT5', 6)                                 1700     1.74     0.82     1.12     1.94
('attachT5/pT5', 5)                                 1631     1.67     0.43     0.98     1.41
