label                                   eff      dup     fake |    effB    effT    effE |    dupB    dupT    dupE |    fakB    fakT    fakE |     v15    v510   v1030     d15 | nTCincut   kill   kFk%
BASELINE                            0.80992  0.06230  0.05551 | 0.92660 0.88213 0.74496 | 0.04344 0.03431 0.08106 | 0.06680 0.06903 0.04525 | 0.79459 0.73356 0.74139 0.61650 |   480309      0    0.0
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
X: drop all attachT3                0.77224  0.06420  0.04819 | 0.85979 0.84674 0.73089 | 0.04752 0.03496 0.08092 | 0.05855 0.05868 0.03998 | 0.77193 0.73019 0.74139 0.61650 |   452314  40623   13.9
X: drop all chain T4                0.80754  0.05647  0.05096 | 0.92660 0.87780 0.74086 | 0.04293 0.02885 0.07218 | 0.05367 0.06784 0.04442 | 0.78436 0.71332 0.71337 0.56856 |   472508  10261   29.3
X: drop all zp8 pLS                 0.80316  0.04509  0.05550 | 0.91590 0.87296 0.74241 | 0.01017 0.01539 0.07285 | 0.06805 0.06924 0.04462 | 0.78436 0.73187 0.74139 0.61650 |   473854   8826    5.2
X: drop chainT5 nhit10              0.72995  0.05519  0.04532 | 0.83476 0.69628 0.71471 | 0.02735 0.01788 0.07763 | 0.04646 0.04704 0.04436 | 0.59795 0.41147 0.32826 0.20401 |   428521  69977   12.8
T4 br==0                            0.80794  0.05834  0.05576 | 0.92660 0.87805 0.74175 | 0.04330 0.02952 0.07531 | 0.06681 0.06938 0.04554 | 0.79167 0.72850 0.74139 0.61650 |   477846   3201    0.8
T4 br==1                            0.80953  0.06049  0.05074 | 0.92660 0.88187 0.74407 | 0.04308 0.03367 0.07800 | 0.05366 0.06749 0.04414 | 0.78728 0.71838 0.71337 0.56856 |   474971   7060   42.2
T4 nPS<=1                           0.80988  0.06229  0.05367 | 0.92660 0.88187 0.74496 | 0.04333 0.03424 0.08102 | 0.06124 0.06872 0.04505 | 0.79313 0.73187 0.73259 0.58863 |   478636   1966   56.5
T4 nPS<=2                           0.80988  0.06211  0.05252 | 0.92660 0.88187 0.74496 | 0.04336 0.03371 0.08078 | 0.05815 0.06831 0.04475 | 0.79313 0.73019 0.73098 0.58640 |   477769   3027   58.7
T4 nPS<=3                           0.80908  0.06085  0.05098 | 0.92660 0.87780 0.74474 | 0.04293 0.02885 0.08004 | 0.05367 0.06784 0.04454 | 0.78874 0.71838 0.71337 0.56856 |   475827   5767   47.7
T4 br1 & nPS<=1                     0.80988  0.06229  0.05367 | 0.92660 0.88187 0.74496 | 0.04333 0.03424 0.08102 | 0.06124 0.06872 0.04505 | 0.79313 0.73187 0.73259 0.58863 |   478636   1966   56.5
T4 br1 & nPS<=2                     0.80988  0.06216  0.05252 | 0.92660 0.88187 0.74496 | 0.04336 0.03403 0.08078 | 0.05815 0.06829 0.04475 | 0.79313 0.73019 0.73098 0.58640 |   477807   2978   59.7
T4 br1 & nPS<=3                     0.80979  0.06170  0.05094 | 0.92660 0.88187 0.74474 | 0.04308 0.03367 0.08014 | 0.05366 0.06749 0.04454 | 0.79020 0.72175 0.71337 0.56856 |   476358   4963   55.2
T4 nB>=2                            0.80917  0.06131  0.05136 | 0.92660 0.87805 0.74485 | 0.04293 0.02896 0.08082 | 0.05367 0.06803 0.04518 | 0.78947 0.72344 0.71337 0.56968 |   476393   4882   51.0
T4 nB>=3                            0.80926  0.06159  0.05146 | 0.92660 0.87831 0.74496 | 0.04293 0.02991 0.08106 | 0.05367 0.06841 0.04525 | 0.78947 0.72513 0.71417 0.57079 |   476692   4505   53.7
T4 nB>=4                            0.80992  0.06221  0.05156 | 0.92660 0.88213 0.74496 | 0.04293 0.03394 0.08106 | 0.05399 0.06832 0.04525 | 0.79094 0.72681 0.71497 0.57079 |   477194   3744   62.4
T4 br1 & nB==4                      0.80992  0.06228  0.05155 | 0.92660 0.88213 0.74496 | 0.04308 0.03408 0.08106 | 0.05398 0.06831 0.04525 | 0.79094 0.72681 0.71497 0.57079 |   477224   3691   63.3
T4 inLay==1                         0.80913  0.06094  0.05400 | 0.92660 0.87805 0.74474 | 0.04302 0.02904 0.08023 | 0.06244 0.06855 0.04505 | 0.78874 0.72513 0.72378 0.59866 |   478246   2952   33.8
T4 inLay==2                         0.80992  0.06226  0.05448 | 0.92660 0.88213 0.74496 | 0.04348 0.03420 0.08095 | 0.06377 0.06860 0.04516 | 0.79459 0.73356 0.73979 0.61427 |   479613    857   68.7
T4 inLay==3                         0.80992  0.06232  0.05380 | 0.92660 0.88213 0.74496 | 0.04333 0.03427 0.08106 | 0.06124 0.06883 0.04525 | 0.79386 0.73187 0.73259 0.58974 |   478769   1772   57.8
T4 inLay in {2,3}                   0.80992  0.06228  0.05276 | 0.92660 0.88213 0.74496 | 0.04336 0.03416 0.08095 | 0.05815 0.06840 0.04516 | 0.79386 0.73187 0.73098 0.58751 |   478073   2629   61.4
T4 pt>2                             0.80926  0.06164  0.05406 | 0.92660 0.88060 0.74396 | 0.04359 0.03274 0.08018 | 0.06284 0.06848 0.04493 | 0.79167 0.73187 0.73419 0.59086 |   478799   1510   51.7
T4 pt>3                             0.80970  0.06217  0.05485 | 0.92660 0.88136 0.74474 | 0.04352 0.03377 0.08092 | 0.06511 0.06868 0.04508 | 0.79313 0.73356 0.73739 0.60201 |   479764    545   63.9
T4 pt>5                             0.80979  0.06229  0.05528 | 0.92660 0.88136 0.74496 | 0.04347 0.03414 0.08106 | 0.06622 0.06886 0.04519 | 0.79459 0.73356 0.74059 0.61315 |   480150    159   77.4
T5 nPS<=1                           0.80957  0.06223  0.05541 | 0.92660 0.88009 0.74496 | 0.04344 0.03367 0.08106 | 0.06680 0.06848 0.04525 | 0.79386 0.73187 0.74059 0.61650 |   479780    702   13.5
T5 nPS<=2                           0.79530  0.06052  0.05079 | 0.90497 0.85158 0.74263 | 0.03826 0.02956 0.08079 | 0.05690 0.06030 0.04494 | 0.75658 0.64755 0.54203 0.37458 |   466168  18502   20.0
T5 nhit10 & nPS<=2                  0.79729  0.06048  0.05078 | 0.90497 0.86278 0.74274 | 0.03826 0.02986 0.08079 | 0.05690 0.06011 0.04494 | 0.75877 0.65430 0.54283 0.37458 |   467512  16903   21.4
T5 nhit10 & inLay>=2                0.79623  0.05944  0.05075 | 0.90497 0.86991 0.73698 | 0.03826 0.03079 0.07902 | 0.05690 0.06109 0.04448 | 0.75439 0.66105 0.54283 0.37347 |   464743  20530   18.4
T5 inLay>=2                         0.79521  0.05929  0.05078 | 0.90497 0.86787 0.73532 | 0.03826 0.03063 0.07883 | 0.05690 0.06111 0.04451 | 0.75146 0.65767 0.54283 0.37347 |   463982  21505   17.8
T5 br3 & nPS<=2                     0.80555  0.06149  0.05111 | 0.92330 0.86787 0.74341 | 0.04165 0.03067 0.08081 | 0.05768 0.06051 0.04494 | 0.78289 0.67791 0.57246 0.37904 |   470399  13012   25.0
T5 br3 & nhit10 & nPS<=2            0.80617  0.06147  0.05113 | 0.92330 0.87144 0.74341 | 0.04165 0.03088 0.08081 | 0.05768 0.06053 0.04494 | 0.78289 0.68128 0.57246 0.37904 |   471181  12053   26.5
T5 nN==2 & nPS<=2                   0.79985  0.06133  0.05221 | 0.90941 0.86609 0.74341 | 0.04012 0.03201 0.08100 | 0.05943 0.06349 0.04514 | 0.76462 0.66442 0.56125 0.39353 |   470808  12710   20.9
bare pLS pt>5                       0.78858  0.05711  0.05397 | 0.91499 0.86711 0.70928 | 0.03176 0.02812 0.07982 | 0.06712 0.06867 0.04228 | 0.77266 0.73187 0.74139 0.61650 |   476470   3839   24.8
bare pLS pt>8                       0.79755  0.05849  0.05449 | 0.91920 0.87322 0.72502 | 0.03379 0.02980 0.08067 | 0.06706 0.06885 0.04327 | 0.77851 0.73187 0.74139 0.61650 |   478235   2074   29.2
bare pLS pt>10                      0.80100  0.05907  0.05467 | 0.92125 0.87525 0.73078 | 0.03532 0.03041 0.08072 | 0.06702 0.06887 0.04362 | 0.77997 0.73187 0.74139 0.61650 |   478673   1636   30.4
bare pLS pt>20                      0.80652  0.06095  0.05509 | 0.92432 0.87958 0.73975 | 0.04020 0.03265 0.08085 | 0.06687 0.06890 0.04447 | 0.78582 0.73356 0.74139 0.61650 |   479621    688   35.0
attachT3 pt>3                       0.80467  0.06228  0.05502 | 0.91874 0.87576 0.74219 | 0.04349 0.03420 0.08101 | 0.06623 0.06842 0.04484 | 0.78947 0.73356 0.74139 0.61650 |   479395    914   31.6
attachT3 pt>5                       0.80727  0.06226  0.05540 | 0.92330 0.87856 0.74308 | 0.04339 0.03424 0.08103 | 0.06671 0.06894 0.04513 | 0.79167 0.73356 0.74139 0.61650 |   480123    186   33.9
attachT3 pt>8                       0.80829  0.06229  0.05549 | 0.92500 0.87984 0.74341 | 0.04342 0.03431 0.08105 | 0.06679 0.06897 0.04522 | 0.79167 0.73356 0.74139 0.61650 |   480240     69   24.6
attachT3 |eta|>2.0                  0.80577  0.06204  0.05507 | 0.92660 0.88213 0.73454 | 0.04344 0.03431 0.08086 | 0.06680 0.06903 0.04425 | 0.78947 0.73019 0.74139 0.61650 |   476327   6121    8.6
attachT3 |eta|>2.4                  0.80864  0.06235  0.05555 | 0.92660 0.88213 0.74175 | 0.04344 0.03431 0.08123 | 0.06680 0.06903 0.04528 | 0.79313 0.73356 0.74139 0.61650 |   479339   1199    3.4
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

DELTAS vs baseline (sorted by fake gain; +eff/-dup/-fake are good)
label                                  d_eff     d_dup    d_fake    d_v510     d_d15    d_effB  kill/evt
X: drop chainT5 nhit10              -0.07997  -0.00711  -0.01019  -0.32209  -0.41249  -0.09184    233.26
X: drop all attachT3                -0.03769  +0.00190  -0.00733  -0.00337  +0.00000  -0.06680    135.41
T4 br==1                            -0.00040  -0.00181  -0.00477  -0.01518  -0.04794  +0.00000     23.53
T5 nhit10 & inLay>=2                -0.01370  -0.00286  -0.00476  -0.07251  -0.24303  -0.02162     68.43
T5 inLay>=2                         -0.01471  -0.00301  -0.00474  -0.07589  -0.24303  -0.02162     71.68
T5 nhit10 & nPS<=2                  -0.01264  -0.00182  -0.00473  -0.07926  -0.24192  -0.02162     56.34
T5 nPS<=2                           -0.01462  -0.00178  -0.00473  -0.08600  -0.24192  -0.02162     61.67
T4 br1 & nPS<=3                     -0.00013  -0.00060  -0.00458  -0.01180  -0.04794  +0.00000     16.54
X: drop all chain T4                -0.00239  -0.00583  -0.00455  -0.02024  -0.04794  +0.00000     34.20
T4 nPS<=3                           -0.00084  -0.00145  -0.00453  -0.01518  -0.04794  +0.00000     19.22
T5 br3 & nPS<=2                     -0.00437  -0.00081  -0.00440  -0.05565  -0.23746  -0.00330     43.37
T5 br3 & nhit10 & nPS<=2            -0.00376  -0.00083  -0.00438  -0.05228  -0.23746  -0.00330     40.18
T4 nB>=2                            -0.00075  -0.00098  -0.00416  -0.01012  -0.04682  +0.00000     16.27
T4 nB>=3                            -0.00066  -0.00071  -0.00406  -0.00843  -0.04571  +0.00000     15.02
T4 br1 & nB==4                      +0.00000  -0.00002  -0.00396  -0.00675  -0.04571  +0.00000     12.30
T4 nB>=4                            +0.00000  -0.00009  -0.00396  -0.00675  -0.04571  +0.00000     12.48
T5 nN==2 & nPS<=2                   -0.01007  -0.00097  -0.00330  -0.06914  -0.22297  -0.01718     42.37
T4 br1 & nPS<=2                     -0.00004  -0.00014  -0.00300  -0.00337  -0.03010  +0.00000      9.93
T4 nPS<=2                           -0.00004  -0.00019  -0.00300  -0.00337  -0.03010  +0.00000     10.09
T4 inLay in {2,3}                   +0.00000  -0.00002  -0.00275  -0.00169  -0.02899  +0.00000      8.76
T4 nPS<=1                           -0.00004  -0.00001  -0.00184  -0.00169  -0.02787  +0.00000      6.55
T4 br1 & nPS<=1                     -0.00004  -0.00001  -0.00184  -0.00169  -0.02787  +0.00000      6.55
T4 inLay==3                         +0.00000  +0.00002  -0.00172  -0.00169  -0.02676  +0.00000      5.91
bare pLS pt>5                       -0.02134  -0.00519  -0.00155  -0.00169  +0.00000  -0.01161     12.80
T4 inLay==1                         -0.00080  -0.00136  -0.00152  -0.00843  -0.01784  +0.00000      9.84
T4 pt>2                             -0.00066  -0.00066  -0.00145  -0.00169  -0.02564  +0.00000      5.03
T4 inLay==2                         +0.00000  -0.00004  -0.00103  +0.00000  -0.00223  +0.00000      2.86
bare pLS pt>8                       -0.01237  -0.00381  -0.00103  -0.00169  +0.00000  -0.00740      6.91
bare pLS pt>10                      -0.00893  -0.00323  -0.00085  -0.00169  +0.00000  -0.00535      5.45
T4 pt>3                             -0.00022  -0.00013  -0.00066  +0.00000  -0.01449  +0.00000      1.82
attachT3 pt>3                       -0.00526  -0.00001  -0.00050  +0.00000  +0.00000  -0.00785      3.05
attachT3 |eta|>2.0                  -0.00415  -0.00026  -0.00045  -0.00337  +0.00000  +0.00000     20.40
bare pLS pt>20                      -0.00340  -0.00135  -0.00042  +0.00000  +0.00000  -0.00228      2.29
T4 pt>5                             -0.00013  -0.00001  -0.00024  +0.00000  -0.00334  +0.00000      0.53
attachT3 pt>5                       -0.00265  -0.00004  -0.00011  +0.00000  +0.00000  -0.00330      0.62
T5 nPS<=1                           -0.00035  -0.00007  -0.00010  -0.00169  +0.00000  +0.00000      2.34
attachT3 pt>8                       -0.00163  -0.00001  -0.00003  +0.00000  +0.00000  -0.00159      0.23
X: drop all zp8 pLS                 -0.00676  -0.01721  -0.00001  -0.00169  +0.00000  -0.01070     29.42
attachT3 |eta|>2.4                  -0.00128  +0.00006  +0.00004  +0.00000  +0.00000  +0.00000      4.00
T4 br==0                            -0.00199  -0.00396  +0.00024  -0.00506  +0.00000  +0.00000     10.67
