
### delivery class x type
cell                                                   N    N/evt    fake%     dup%  f-or-d%
carried/pLS                                       180173   600.58     4.75     9.25    14.00
chain/T5                                           98525   328.42     9.21     5.83    15.04
attachT3/pT3                                       27995    93.32    17.39     1.65    19.04
zp8pLS/pLS                                          6455    21.52     5.64    67.23    72.87
chain/T4                                            7801    26.00    33.14    21.32    54.45
attachT5/pT5                                      159360   531.20     0.76     0.66     1.42

### x nhitOT
cell                                                   N    N/evt    fake%     dup%  f-or-d%
('carried/pLS', 0)                                180173   600.58     4.75     9.25    14.00
('chain/T5', 10)                                   51788   172.63    13.98     6.24    20.23
('attachT3/pT3', 6)                                27995    93.32    17.39     1.65    19.04
('zp8pLS/pLS', 0)                                   6455    21.52     5.64    67.23    72.87
('chain/T4', 8)                                     7801    26.00    33.14    21.32    54.45
('chain/T5', 12)                                   44619   148.73     4.02     5.37     9.39
('attachT5/pT5', 10)                               70917   236.39     0.92     0.93     1.84
('attachT5/pT5', 12)                               83478   278.26     0.64     0.42     1.05
('chain/T5', 14)                                    2118     7.06     1.98     5.48     7.46
('attachT5/pT5', 14)                                4965    16.55     0.60     0.81     1.41

### x -G 6 admission branch (dbgBr)
cell                                                   N    N/evt    fake%     dup%  f-or-d%
('carried/pLS', -1)                               180173   600.58     4.75     9.25    14.00
('chain/T5', 3)                                    48579   161.93    15.38     5.22    20.60
('attachT3/pT3', -1)                               27995    93.32    17.39     1.65    19.04
('chain/T5', 2)                                    49823   166.08     3.22     6.36     9.58
('zp8pLS/pLS', -1)                                  6455    21.52     5.64    67.23    72.87
('chain/T4', 1)                                     5338    17.79    48.03    11.75    59.78
('attachT5/pT5', 2)                               141349   471.16     0.49     0.60     1.09
('chain/T4', 0)                                     2463     8.21     0.85    42.06    42.92
('attachT5/pT5', 3)                                18011    60.04     2.91     1.06     3.98

### x chain nLayers (dbgNL)
cell                                                   N    N/evt    fake%     dup%  f-or-d%
('carried/pLS', 0)                                180173   600.58     4.75     9.25    14.00
('chain/T5', 5)                                    51788   172.63    13.98     6.24    20.23
('attachT3/pT3', 0)                                27995    93.32    17.39     1.65    19.04
('zp8pLS/pLS', 0)                                   6455    21.52     5.64    67.23    72.87
('chain/T4', 4)                                     7801    26.00    33.14    21.32    54.45
('chain/T5', 6)                                    44619   148.73     4.02     5.37     9.39
('attachT5/pT5', 5)                                70917   236.39     0.92     0.93     1.84
('attachT5/pT5', 6)                                83478   278.26     0.64     0.42     1.05
('chain/T5', 7)                                     2118     7.06     1.98     5.48     7.46
('attachT5/pT5', 7)                                 4965    16.55     0.60     0.81     1.41

### x member-T3 count (dbgNN)
cell                                                   N    N/evt    fake%     dup%  f-or-d%
('carried/pLS', 0)                                180173   600.58     4.75     9.25    14.00
('chain/T5', 3)                                    55504   185.01     7.42     5.99    13.40
('chain/T5', 2)                                    31443   104.81    14.72     5.65    20.36
('attachT3/pT3', 0)                                27995    93.32    17.39     1.65    19.04
('zp8pLS/pLS', 0)                                   6455    21.52     5.64    67.23    72.87
('chain/T4', 2)                                     7801    26.00    33.14    21.32    54.45
('attachT5/pT5', 3)                                89827   299.42     0.78     0.68     1.46
('chain/T5', 4)                                    11382    37.94     2.88     5.57     8.45
('attachT5/pT5', 2)                                44682   148.94     0.82     0.63     1.45
('attachT5/pT5', 4)                                24442    81.47     0.55     0.59     1.14
('attachT5/pT5', 5)                                  409     1.36     1.71     2.69     4.40

### x PS-module MD count (dbgNPS)
cell                                                   N    N/evt    fake%     dup%  f-or-d%
('carried/pLS', 0)                                180173   600.58     4.75     9.25    14.00
('chain/T5', 3)                                    70457   234.86     7.75     5.39    13.15
('attachT3/pT3', 0)                                27995    93.32    17.39     1.65    19.04
('zp8pLS/pLS', 0)                                   6455    21.52     5.64    67.23    72.87
('chain/T5', 2)                                    13612    45.37    21.38     5.93    27.31
('chain/T4', 4)                                     3319    11.06     5.42    35.34    40.77
('chain/T4', 3)                                     1942     6.47    42.89    18.80    61.69
('attachT5/pT5', 3)                                99459   331.53     0.73     0.46     1.18
('chain/T4', 1)                                     1666     5.55    58.34     3.12    61.46
('chain/T5', 5)                                     7860    26.20     3.61     7.82    11.44
('chain/T4', 2)                                      867     2.89    68.86     8.42    77.28
('chain/T5', 4)                                     4131    13.77     7.65     7.36    15.01
