# run lumi evt seed tc cls df00 df01 df02 df03 df04 df05 df06 df07 df08 df09 df10 df11 df12 df13 df14 df15 df16 df17 df18 df19 df20 df21
1 46 4560 244 346 1 0.0588601 0.677227 0.0008984 0.00135629 0.944716 -0.0720665 3.76353 0.169359 0.169359 5.0242 6 12 29.3895 0.0603689 0.668566 3 1 0 0 1 1 1
1 46 4560 321 347 1 0.302985 0.0058709 0.000262598 0.000873167 0.000385451 0.0426918 1.45668 -2.48054 0.358055 2.72334 6 12 26.4432 0.0480654 0.00970436 3 1 0 0 1 1 1
1 46 4560 402 364 1 -0.0724738 1.56111 0.00161869 0.00170213 0.00159143 0.0761411 1.62264 2.48351 2.48351 4.60287 6 12 29.1292 -0.0677571 1.48107 3 4 0 0 1 2 4
1 46 4560 165 376 0 -0.0227792 0.202159 0.00045032 0.00153836 0.333024 0.087542 8.20414 -1.06163 5.49387 -30 5 10 22.2749 -0.0376976 0.242825 2 1 0 0 1 1 1
1 46 4560 413 382 1 -0.0762964 1.29994 0.00159317 0.00177997 106.697 0.088246 11.5547 -3.02608 0.298573 2.19255 5 10 25.2204 0.377999 1.30633 3 1 0 0 1 1 1
1 46 4560 2886 417 1 -0.0957774 2.04651 0.00233652 0.00179556 0.0158468 0.10494 24.4 0.748038 0.748038 0.721313 5 10 26.1335 0.3995 2.02357 3 1 0 0 1 1 1
1 46 4560 259 446 0 0.0903022 1.80529 0.00244951 0.0015512 1.0719 0.0551563 10.1671 2.23913 2.23913 3.4986 5 10 21.3807 -0.015822 1.82088 2 7 0 3 1 1 4
1 46 4560 805 463 1 -0.0981076 2.145 0.002526 0.00198103 0.00445618 -0.080457 7.79566 -2.32876 -2.32743 1.30419 5 10 21.2658 0.0272854 2.06864 2 4 0 0 0 1 6
1 46 4560 288 510 0 -0.0087227 0.474339 0.000859777 0.00173884 16.7233 0.0885068 11.8202 -1.37027 6.04042 -30 5 10 25.7807 -0.0755362 0.571486 3 1 0 0 1 1 1
1 46 4560 558 513 1 0.0551177 0.145818 0.000334992 0.0013581 0.00031296 -0.0731624 4.73029 -1.79451 2.3288 1.53327 5 10 20.5452 -0.060407 0.086261 2 1 0 0 1 3 1
1 46 4560 531 546 1 -0.0942465 1.05599 0.0018761 0.00224184 0.00014586 -0.102395 1.84725 -3.5441 -0.538297 2.56199 5 10 26.1473 0.866344 1.18316 3 1 0 0 1 2 1
1 46 4560 268 580 0 0.249112 0.102452 0.000251793 0.000942549 0.000406844 0.0478166 7.25305 0.550233 6.45788 -30 5 10 21.6379 0.365368 0.0392912 2 1 0 0 1 1 1
1 46 4560 2045 589 1 -0.0982556 1.58169 0.00177306 0.0017262 150.596 0.10394 14.8478 1.38538 1.38538 4.25064 6 12 32.7198 0.024146 1.63317 4 2 0 0 0 2 2
1 46 4560 535 593 1 -0.079364 1.43634 0.00182409 0.00167691 0.000491844 0.095187 3.36688 -2.25806 -1.88707 2.27363 5 10 25.0917 0.0436455 1.55816 3 1 0 0 1 1 3
1 46 4560 2045 593 1 -0.0982556 1.58169 0.00177306 0.0017262 150.596 0.10394 14.8478 -3.35671 1.38538 4.25064 5 10 25.0917 0.0436455 1.55816 3 2 0 0 0 2 3
1 46 4560 87 597 0 0.506413 1.32996 0.00085316 0.000655119 32.9277 0.028694 9.53217 3.9152 3.9152 4.32829 5 10 25.1376 0.556432 1.3622 3 2 0 0 1 1 2
1 46 4560 1172 622 0 -0.0500074 1.81937 0.00200531 0.00171619 4.83617 -0.0861827 9.54908 3.8762 3.8762 4.2269 5 10 21.386 -0.301051 1.80479 2 2 0 0 0 1 2
1 46 4560 558 623 1 0.0551177 0.145818 0.000334992 0.0013581 0.00031296 -0.0731624 4.73029 -1.09151 2.3288 1.53327 5 10 20.402 0.0637232 0.180787 2 1 0 0 1 3 1
1 46 4560 237 628 0 1.08137 0.452631 0.000401483 0.000168024 0.00038207 0.00711505 0.210366 3.70938 3.70938 -30 5 10 25.0095 1.07133 0.420908 3 1 0 0 1 3 2
1 46 4560 238 628 0 0.953926 0.472474 0.000354967 0.000212308 0.000380167 -0.00950328 0.140138 -0.793456 3.44545 -30 5 10 25.0095 1.07133 0.420908 3 1 0 0 1 3 2
