A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/final/f_c7_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3264       0.3264      -0.0001
eff overall (pt>0.9)             0.8130       0.8136      -0.0006
eff vxy [0,1)                    0.8459       0.8473      -0.0015
eff vxy [1,5)                    0.8042       0.7731      +0.0311
eff vxy [5,10)                   0.7287       0.6530      +0.0757
eff vxy [10,30)                  0.7173       0.6291      +0.0882
eff dxy [0,1)                    0.8403       0.8342      +0.0061
eff dxy [1,5)                    0.5633       0.4989      +0.0644
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9252       0.9242      +0.0010
eff transition 1.1-1.7           0.8816       0.8826      -0.0010
eff endcap >1.7                  0.7536       0.7556      -0.0020
dup rate (pt sums)               0.0500       0.0499      +0.0001
dup rate (pt>0.9)                0.0506       0.0513      -0.0007
dup rate barrel                  0.0137       0.0097      +0.0039
dup rate transition              0.0175       0.0130      +0.0045
dup rate endcap                  0.0801       0.0846      -0.0044
fake rate (pt sums)              0.0450       0.0451      -0.0001
fake rate (pt>0.9)               0.0457       0.0455      +0.0002
fake rate barrel                 0.0513       0.0437      +0.0076
fake rate transition             0.0521       0.0459      +0.0062
fake rate endcap                 0.0408       0.0463      -0.0055
mean nhitOT                       6.286        6.514       -0.227
mean nhitOT barrel                9.792       10.151       -0.359
mean nhitOT transition            9.699       10.010       -0.311
mean nhitOT endcap                3.404        3.559       -0.155
n TC (fr denom)                  613371       610581        +2790
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/final/f_c7.json
