A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_trim/a_tt12_ta05_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3268       0.3264      +0.0003
eff overall (pt>0.9)             0.8138       0.8136      +0.0003
eff vxy [0,1)                    0.8467       0.8473      -0.0006
eff vxy [1,5)                    0.8042       0.7731      +0.0311
eff vxy [5,10)                   0.7287       0.6530      +0.0757
eff vxy [10,30)                  0.7190       0.6291      +0.0899
eff dxy [0,1)                    0.8412       0.8342      +0.0070
eff dxy [1,5)                    0.5633       0.4989      +0.0644
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9253       0.9242      +0.0011
eff transition 1.1-1.7           0.8824       0.8826      -0.0003
eff endcap >1.7                  0.7553       0.7556      -0.0003
dup rate (pt sums)               0.0563       0.0499      +0.0064
dup rate (pt>0.9)                0.0577       0.0513      +0.0064
dup rate barrel                  0.0142       0.0097      +0.0045
dup rate transition              0.0235       0.0130      +0.0104
dup rate endcap                  0.0910       0.0846      +0.0065
fake rate (pt sums)              0.0466       0.0451      +0.0015
fake rate (pt>0.9)               0.0473       0.0455      +0.0018
fake rate barrel                 0.0515       0.0437      +0.0077
fake rate transition             0.0551       0.0459      +0.0092
fake rate endcap                 0.0428       0.0463      -0.0036
mean nhitOT                       6.234        6.514       -0.280
mean nhitOT barrel                9.686       10.151       -0.464
mean nhitOT transition            9.632       10.010       -0.378
mean nhitOT endcap                3.389        3.559       -0.170
n TC (fr denom)                  616939       610581        +6358
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_trim/a_tt12_ta05.json
