tag                    eff    v15   v510  v1030    d15   d510 |    nhB    nhT    nhE |   dupB   dupT   dupE |   fake    dup    nTC |  trims    ms status
b_ta25             0.81228 0.8021 0.7256 0.7173 0.5612  71/285|  9.880  9.785  3.472 | 0.0137 0.0225 0.0895 | 0.0478 0.05656 616370 |  36590   266 FAIL:EFF,V15,V510,D15
d_tt15_ta125       0.81272 0.8042 0.7287 0.7181 0.5622  71/285|  9.831  9.743  3.436 | 0.0138 0.0227 0.0898 | 0.0476 0.05679 616525 |  55349   267 pass
d_tt20_ta125       0.81254 0.8035 0.7287 0.7181 0.5622  71/285|  9.836  9.756  3.440 | 0.0138 0.0227 0.0897 | 0.0477 0.05672 616502 |  50014   268 FAIL:EFF
e_l3               0.81320 0.8042 0.7287 0.7190 0.5622  72/285|  9.816  9.732  3.435 | 0.0139 0.0226 0.0898 | 0.0475 0.05679 616530 |  72502   266 pass
d_l3_tt15          0.81303 0.8042 0.7287 0.7190 0.5622  72/285|  9.825  9.758  3.444 | 0.0138 0.0223 0.0896 | 0.0476 0.05660 616471 |  63536   267 pass
f_l3_tt175         0.81285 0.8035 0.7287 0.7190 0.5622  72/285|  9.830  9.769  3.447 | 0.0138 0.0221 0.0895 | 0.0476 0.05651 616441 |  59606   267 pass
d_l3_tt20          0.81272 0.8035 0.7287 0.7190 0.5622  72/285|  9.834  9.776  3.449 | 0.0138 0.0221 0.0894 | 0.0477 0.05648 616434 |  56998   267 pass
f_l25_tt20         0.81272 0.8035 0.7287 0.7190 0.5622  72/285|  9.831  9.769  3.446 | 0.0138 0.0223 0.0895 | 0.0476 0.05655 616453 |  56998   267 pass
f_l3_tt15_ta110    0.81285 0.8042 0.7287 0.7190 0.5622  72/285|  9.837  9.766  3.449 | 0.0138 0.0222 0.0895 | 0.0476 0.05654 616439 |  60054   267 pass
f_l40_tt15         0.81285 0.8021 0.7287 0.7190 0.5612  72/285|  9.831  9.770  3.450 | 0.0138 0.0221 0.0895 | 0.0475 0.05649 616423 |  63536   273 FAIL:V15,D15
c_l3_ta125         0.81285 0.8042 0.7287 0.7181 0.5612  72/285|  9.849  9.759  3.447 | 0.0137 0.0223 0.0896 | 0.0475 0.05660 616434 |  62556   268 FAIL:D15
c_l3_ta15          0.81259 0.8035 0.7287 0.7181 0.5612  72/285|  9.873  9.780  3.457 | 0.0137 0.0221 0.0894 | 0.0476 0.05645 616368 |  54608   268 FAIL:EFF,D15
e_l15_ta130        0.81285 0.8042 0.7287 0.7173 0.5612  71/285|  9.844  9.743  3.439 | 0.0137 0.0225 0.0899 | 0.0475 0.05676 616497 |  60772   267 FAIL:D15
e_l15_ta140        0.81272 0.8042 0.7287 0.7173 0.5612  71/285|  9.854  9.751  3.444 | 0.0137 0.0225 0.0898 | 0.0475 0.05670 616463 |  57456   266 FAIL:D15
e_l20_ta125        0.81285 0.8042 0.7287 0.7181 0.5612  72/285|  9.842  9.746  3.440 | 0.0138 0.0226 0.0898 | 0.0475 0.05672 616486 |  62556   266 FAIL:D15
e_l20_ta140        0.81272 0.8042 0.7287 0.7181 0.5612  72/285|  9.858  9.759  3.447 | 0.0137 0.0224 0.0897 | 0.0476 0.05665 616445 |  57456   266 FAIL:D15
c_l3bt45_ta125     0.81268 0.8042 0.7287 0.7181 0.5612  72/285|  9.862  9.772  3.460 | 0.0137 0.0222 0.0893 | 0.0476 0.05641 616360 |  62556   268 FAIL:EFF,D15
f_l3bt45_tt15      0.81285 0.8042 0.7287 0.7190 0.5622  72/285|  9.838  9.771  3.457 | 0.0138 0.0221 0.0893 | 0.0476 0.05640 616396 |  63536   266 pass
f_l3bt40_tt15      0.81263 0.8042 0.7287 0.7190 0.5612  72/285|  9.853  9.791  3.470 | 0.0138 0.0219 0.0891 | 0.0476 0.05622 616306 |  63536   266 FAIL:EFF,D15
g_bt44_tt15        0.81285 0.8042 0.7287 0.7190 0.5622  72/285|  9.841  9.774  3.460 | 0.0138 0.0221 0.0893 | 0.0475 0.05639 616381 |  63536   266 pass
g_bt435_tt15       0.81281 0.8042 0.7287 0.7181 0.5612  72/285|  9.843  9.776  3.461 | 0.0138 0.0221 0.0893 | 0.0475 0.05638 616374 |  63536   267 FAIL:D15
g_bt425_tt15       0.81276 0.8042 0.7287 0.7190 0.5612  72/285|  9.846  9.779  3.464 | 0.0138 0.0221 0.0892 | 0.0475 0.05633 616352 |  63536   267 FAIL:D15
g_bt45_tt16        0.81272 0.8042 0.7287 0.7190 0.5622  72/285|  9.840  9.776  3.459 | 0.0138 0.0221 0.0893 | 0.0476 0.05637 616383 |  61735   266 pass
g_bt45_tt175       0.81268 0.8035 0.7287 0.7190 0.5622  72/285|  9.843  9.782  3.461 | 0.0138 0.0220 0.0892 | 0.0476 0.05632 616368 |  59606   266 FAIL:EFF
g_bt45_tt15_ta11   0.81268 0.8042 0.7287 0.7190 0.5622  72/285|  9.851  9.779  3.462 | 0.0137 0.0221 0.0892 | 0.0476 0.05634 616361 |  60054   266 FAIL:EFF
--------------------------------------------------------------------------------------------------------------------------------------------------------
FLAGSHIP(ref)      0.81320      -      -      -      -   -/-  |  9.794  9.698  3.417 |      -      -      - |      - 0.05708
LST TARGET         0.81360      -      -      -      -   -/-  | 10.151 10.010  3.559 |      -      -      - |      - 0.05130
HARD FLOOR         0.81270 0.8022 0.7267 0.7170 0.5613  71/285|
