hists                           eff     v15    v510   v1030     d15   d15 cnt     d510 |    nhB    nhT    nhE |    fake     dup |  dupWin   nhWin    nTC status
---------------------------------------------------------------------------------------------------------------------------------------------------------------
a_tt10_ta05                 0.81390 0.80495 0.73028 0.71895 0.56330   525/932   71/285 |  9.654  9.565  3.375 | 0.04718 0.05807 | 0.09811  5.5210 476723 pass
a_tt10_ta10                 0.81320 0.80495 0.72871 0.71895 0.56330   525/932   71/285 |  9.782  9.658  3.406 | 0.04734 0.05735 | 0.09673  5.5780 476510 pass
a_tt10_ta30                 0.81215 0.80141 0.72555 0.71732 0.56116   523/932   71/285 |  9.883  9.791  3.483 | 0.04781 0.05653 | 0.09522  5.7016 476437 FAIL:EFF,V15,V510,D15
a_tt11_ta05                 0.81373 0.80495 0.73028 0.71895 0.56330   525/932   71/285 |  9.673  9.604  3.385 | 0.04721 0.05784 | 0.09766  5.5416 476749 pass
a_tt11_ta10                 0.81316 0.80495 0.72871 0.71895 0.56330   525/932   71/285 |  9.789  9.682  3.414 | 0.04737 0.05720 | 0.09643  5.5937 476544 pass
a_tt11_ta30                 0.81215 0.80141 0.72555 0.71732 0.56116   523/932   71/285 |  9.883  9.793  3.485 | 0.04783 0.05650 | 0.09515  5.7051 476467 FAIL:EFF,V15,V510,D15
a_tt12_ta05                 0.81382 0.80424 0.72871 0.71895 0.56330   525/932   71/285 |  9.686  9.632  3.389 | 0.04729 0.05770 | 0.09743  5.5545 476727 pass
a_tt12_ta10                 0.81325 0.80424 0.72871 0.71895 0.56330   525/932   71/285 |  9.794  9.698  3.417 | 0.04743 0.05708 | 0.09623  5.6027 476528 pass
a_tt12_ta30                 0.81215 0.80141 0.72555 0.71732 0.56116   523/932   71/285 |  9.883  9.794  3.486 | 0.04784 0.05646 | 0.09508  5.7065 476465 FAIL:EFF,V15,V510,D15
a_tt15_ta05                 0.81373 0.80424 0.72871 0.71895 0.56330   525/932   71/285 |  9.711  9.677  3.399 | 0.04741 0.05745 | 0.09699  5.5789 476677 pass
a_tt15_ta10                 0.81307 0.80424 0.72871 0.71895 0.56330   525/932   71/285 |  9.802  9.724  3.426 | 0.04754 0.05690 | 0.09588  5.6196 476509 pass
a_tt15_ta30                 0.81215 0.80141 0.72555 0.71732 0.56116   523/932   71/285 |  9.883  9.796  3.488 | 0.04789 0.05643 | 0.09499  5.7094 476474 FAIL:EFF,V15,V510,D15
a_tt20_ta05                 0.81333 0.80353 0.72871 0.71895 0.56330   525/932   71/285 |  9.740  9.704  3.406 | 0.04755 0.05732 | 0.09681  5.5927 476636 pass
a_tt20_ta10                 0.81281 0.80353 0.72871 0.71895 0.56330   525/932   71/285 |  9.812  9.741  3.430 | 0.04764 0.05681 | 0.09571  5.6302 476479 pass
a_tt20_ta30                 0.81210 0.80071 0.72555 0.71732 0.56116   523/932   71/285 |  9.883  9.800  3.489 | 0.04793 0.05638 | 0.09489  5.7132 476448 FAIL:EFF,V15,V510,D15
a_tt30_ta05                 0.81303 0.80353 0.72871 0.71814 0.56330   525/932   71/285 |  9.776  9.731  3.410 | 0.04767 0.05720 | 0.09661  5.6036 476563 pass
a_tt30_ta10                 0.81268 0.80353 0.72871 0.71814 0.56330   525/932   71/285 |  9.825  9.758  3.434 | 0.04775 0.05673 | 0.09559  5.6388 476435 FAIL:EFF
a_tt30_ta30                 0.81193 0.80071 0.72555 0.71732 0.56116   523/932   71/285 |  9.883  9.804  3.491 | 0.04799 0.05634 | 0.09481  5.7172 476406 FAIL:EFF,V15,V510,D15
b_ta125                     0.81290 0.80424 0.72871 0.71814 0.56223   524/932   71/285 |  9.827  9.724  3.429 | 0.04752 0.05692 | 0.09598  5.6223 476518 pass
b_ta15                      0.81263 0.80353 0.72871 0.71814 0.56223   524/932   71/285 |  9.851  9.745  3.439 | 0.04757 0.05682 | 0.09578  5.6391 476519 FAIL:EFF
b_ta175                     0.81246 0.80283 0.72871 0.71814 0.56116   523/932   71/285 |  9.865  9.760  3.448 | 0.04762 0.05674 | 0.09560  5.6526 476505 FAIL:EFF,D15
b_ta20                      0.81241 0.80283 0.72871 0.71732 0.56116   523/932   71/285 |  9.872  9.771  3.457 | 0.04769 0.05664 | 0.09538  5.6661 476492 FAIL:EFF,D15
b_ta225                     0.81232 0.80283 0.72555 0.71732 0.56116   523/932   71/285 |  9.877  9.779  3.465 | 0.04773 0.05658 | 0.09531  5.6776 476489 FAIL:EFF,V510,D15
b_ta25                      0.81228 0.80212 0.72555 0.71732 0.56116   523/932   71/285 |  9.880  9.785  3.472 | 0.04778 0.05656 | 0.09527  5.6875 476467 FAIL:EFF,V15,V510,D15
c_l3_ta125                  0.81285 0.80424 0.72871 0.71814 0.56116   523/932   72/285 |  9.849  9.759  3.447 | 0.04755 0.05660 | 0.09538  5.6518 476470 FAIL:D15
c_l3_ta15                   0.81259 0.80353 0.72871 0.71814 0.56116   523/932   72/285 |  9.873  9.780  3.457 | 0.04760 0.05645 | 0.09510  5.6689 476458 FAIL:EFF,D15
c_l3bt45_ta125              0.81268 0.80424 0.72871 0.71814 0.56116   523/932   72/285 |  9.862  9.772  3.460 | 0.04756 0.05641 | 0.09497  5.6718 476434 FAIL:EFF,D15
c_ta130                     0.81290 0.80424 0.72871 0.71814 0.56223   524/932   71/285 |  9.833  9.729  3.431 | 0.04754 0.05692 | 0.09598  5.6257 476531 pass
c_ta135                     0.81281 0.80424 0.72871 0.71814 0.56223   524/932   71/285 |  9.838  9.733  3.433 | 0.04754 0.05688 | 0.09591  5.6296 476526 pass
c_ta140                     0.81276 0.80424 0.72871 0.71814 0.56223   524/932   71/285 |  9.843  9.737  3.435 | 0.04755 0.05685 | 0.09585  5.6328 476521 pass
d_l3_tt15                   0.81303 0.80424 0.72871 0.71895 0.56223   524/932   72/285 |  9.825  9.758  3.444 | 0.04755 0.05660 | 0.09533  5.6494 476458 pass
d_l3_tt20                   0.81272 0.80353 0.72871 0.71895 0.56223   524/932   72/285 |  9.834  9.776  3.449 | 0.04767 0.05648 | 0.09511  5.6606 476424 pass
d_tt15_ta125                0.81272 0.80424 0.72871 0.71814 0.56223   524/932   71/285 |  9.831  9.743  3.436 | 0.04761 0.05679 | 0.09571  5.6363 476505 pass
d_tt175                     0.81294 0.80353 0.72871 0.71895 0.56330   525/932   71/285 |  9.808  9.735  3.428 | 0.04759 0.05684 | 0.09576  5.6264 476483 pass
d_tt20_ta125                0.81254 0.80353 0.72871 0.71814 0.56223   524/932   71/285 |  9.836  9.756  3.440 | 0.04768 0.05672 | 0.09555  5.6453 476469 FAIL:EFF
d_tt25                      0.81276 0.80353 0.72871 0.71895 0.56330   525/932   71/285 |  9.820  9.751  3.432 | 0.04771 0.05675 | 0.09562  5.6352 476445 pass
e_l15_ta130                 0.81285 0.80424 0.72871 0.71732 0.56116   523/932   71/285 |  9.844  9.743  3.439 | 0.04753 0.05676 | 0.09572  5.6391 476491 FAIL:D15
e_l15_ta140                 0.81272 0.80424 0.72871 0.71732 0.56116   523/932   71/285 |  9.854  9.751  3.444 | 0.04753 0.05670 | 0.09560  5.6463 476479 FAIL:D15
e_l20_ta125                 0.81285 0.80424 0.72871 0.71814 0.56116   523/932   72/285 |  9.842  9.746  3.440 | 0.04753 0.05672 | 0.09562  5.6412 476487 FAIL:D15
e_l20_ta140                 0.81272 0.80424 0.72871 0.71814 0.56116   523/932   72/285 |  9.858  9.759  3.447 | 0.04756 0.05665 | 0.09549  5.6519 476488 FAIL:D15
e_l3                        0.81320 0.80424 0.72871 0.71895 0.56223   524/932   72/285 |  9.816  9.732  3.435 | 0.04746 0.05679 | 0.09569  5.6310 476477 pass
e_ta145                     0.81268 0.80424 0.72871 0.71814 0.56223   524/932   71/285 |  9.847  9.741  3.437 | 0.04756 0.05684 | 0.09581  5.6358 476519 FAIL:EFF
f_l25_tt20                  0.81272 0.80353 0.72871 0.71895 0.56223   524/932   72/285 |  9.831  9.769  3.446 | 0.04765 0.05655 | 0.09521  5.6552 476438 pass
