hists                           eff     v15    v510   v1030     d15   d15 cnt     d510 |    nhB    nhT    nhE |    fake     dup |  dupWin   nhWin    nTC status
lb2                         0.81320 0.80424 0.72871 0.71895 0.56223   524/932   72/285 |  9.816  9.732  3.435 | 0.04746 0.05679 | 0.09569  5.6310 476477 pass
lb2b                        0.81320 0.80424 0.72871 0.71895 0.56223   524/932   72/285 |  9.820  9.737  3.438 | 0.04746 0.05676 | 0.09565  5.6361 476484 pass
lb2c                        0.81303 0.80212 0.72871 0.71895 0.56116   523/932   72/285 |  9.823  9.743  3.441 | 0.04746 0.05670 | 0.09553  5.6408 476455 FAIL:V15,D15
lb2d                        0.81303 0.80212 0.72871 0.71814 0.56116   523/932   72/285 |  9.826  9.749  3.443 | 0.04749 0.05662 | 0.09536  5.6452 476446 FAIL:V15,D15
lb3                         0.81311 0.80141 0.72871 0.71814 0.56116   523/932   72/285 |  9.832  9.760  3.448 | 0.04752 0.05646 | 0.09503  5.6529 476407 FAIL:V15,D15
lb4                         0.81268 0.80071 0.72871 0.71650 0.55794   520/932   72/285 |  9.858  9.806  3.467 | 0.04774 0.05601 | 0.09427  5.6847 476336 FAIL:EFF,V15,V1030,D15
lb5                         0.81184 0.79929 0.72871 0.70997 0.55579   518/932   72/285 |  9.894  9.858  3.487 | 0.04830 0.05560 | 0.09368  5.7205 476273 FAIL:EFF,V15,V1030,D15,FAKE
le1                         0.81325 0.80424 0.72871 0.71895 0.56330   525/932   71/285 |  9.797  9.701  3.419 | 0.04742 0.05703 | 0.09614  5.6060 476512 pass
le25                        0.81320 0.80424 0.72871 0.71895 0.56330   525/932   71/285 |  9.809  9.718  3.428 | 0.04745 0.05688 | 0.09589  5.6203 476497 pass
le2                         0.81320 0.80424 0.72871 0.71895 0.56330   525/932   71/285 |  9.800  9.704  3.421 | 0.04742 0.05699 | 0.09609  5.6089 476511 pass
le35                        0.81316 0.80424 0.72871 0.71895 0.56223   524/932   72/285 |  9.811  9.722  3.429 | 0.04744 0.05686 | 0.09585  5.6216 476500 pass
le3                         0.81320 0.80424 0.72871 0.71895 0.56330   525/932   71/285 |  9.804  9.711  3.424 | 0.04744 0.05694 | 0.09601  5.6138 476497 pass
le4                         0.81307 0.80424 0.72871 0.71814 0.56116   523/932   72/285 |  9.818  9.733  3.436 | 0.04746 0.05678 | 0.09569  5.6333 476484 FAIL:D15
lg1                         0.81276 0.80141 0.73028 0.71405 0.55687   519/932   72/285 |  9.839  9.787  3.452 | 0.04792 0.05625 | 0.09471  5.6613 476472 FAIL:V15,V1030,D15
lg2                         0.80578 0.79223 0.71767 0.69281 0.53863   502/932   71/285 |  9.961  9.903  3.502 | 0.05191 0.05580 | 0.09398  5.7456 476471 FAIL:EFF,V15,V510,V1030,D15,FAKE
lg3                         0.80675 0.79293 0.71924 0.69363 0.53433   498/932   72/285 |  9.941  9.870  3.496 | 0.05242 0.05612 | 0.09422  5.7332 476888 FAIL:EFF,V15,V510,V1030,D15,FAKE
lmax                        0.80973 0.79859 0.72240 0.70016 0.54506   508/932   71/285 |  9.890  9.833  3.468 | 0.04936 0.05598 | 0.09416  5.6888 476378 FAIL:EFF,V15,V510,V1030,D15,FAKE
r_def2                      0.80175 0.78516 0.71293 0.69608 0.54185   505/932   71/285 | 10.044  9.986  3.679 | 0.05363 0.06428 | 0.10935  5.9654 477805 FAIL:EFF,V15,V510,V1030,D15,FAKE
r_def                       0.80175 0.78516 0.71293 0.69608 0.54185   505/932   71/285 | 10.044  9.986  3.679 | 0.05363 0.06428 | 0.10935  5.9654 477805 FAIL:EFF,V15,V510,V1030,D15,FAKE
