====================================================================================================
A. TC / DUP / FAKE per BAND x CLASS  (per event)
====================================================================================================
band   class         CF.nTC      dup     fake    LST.nTC      dup     fake
seeded    barePLS                                0.041     0.274
barePLS   seeded                                 0.042     0.259
T5chain   seeded                                 0.233     0.000
seeded    T5chain                                0.232     0.000
seeded    pT3cls                                 0.029     0.139
pT3cls    seeded                                 0.029     0.138
T5chain   T5chain                                0.123     0.122
pT3cls    pT3cls                                 0.005     0.113
pT3cls    T4chain                                0.013     0.093
T5chain   pT3cls                                 0.091     0.008
pT3cls    T5chain                                0.090     0.009
seeded    seeded                                 0.010     0.076
T4chain   pT3cls                                 0.012     0.073
seeded    T4chain                                0.036     0.054
barePLS   T4chain                                0.043     0.051
T4chain   seeded                                 0.035     0.038
TOTAL                                            4.756     2.645

-- band e17_21 --
dupClass  coveredWith                               CF       LST
T5chain   barePLS                                2.380     1.194
barePLS   T5chain                                2.377     1.174
barePLS   seeded                                 0.117     1.922
seeded    barePLS                                0.112     1.910
T5chain   seeded                                 0.687     0.000
seeded    T5chain                                0.686     0.000
T4chain   pT3cls                                 0.068     0.372
T5chain   T5chain                                0.362     0.247
pT3cls    T4chain                                0.068     0.360
T4chain   barePLS                                0.243     0.336
barePLS   T4chain                                0.218     0.334
barePLS   barePLS                                0.253     0.331
seeded    seeded                                 0.098     0.295
pT3cls    seeded                                 0.187     0.269
seeded    pT3cls                                 0.187     0.268
pT3cls    pT3cls                                 0.007     0.166
T4chain   seeded                                 0.118     0.158
T4chain   T5chain                                0.043     0.149
TOTAL                                            8.718    10.044

-- band e21_25 --
dupClass  coveredWith                               CF       LST
barePLS   barePLS                                7.100     7.929
barePLS   seeded                                 0.175     3.470
seeded    barePLS                                0.181     3.463
T4chain   barePLS                                0.387     2.579
barePLS   T4chain                                0.373     2.562
barePLS   T5chain                                1.347     0.876
T5chain   barePLS                                1.325     0.908
barePLS   pT3cls                                 0.165     0.608
pT3cls    barePLS                                0.165     0.604
seeded    pT3cls                                 0.313     0.371
pT3cls    seeded                                 0.313     0.371
barePLS   T4chain,barePLS                        0.023     0.362
seeded    T5chain                                0.315     0.000
T5chain   seeded                                 0.315     0.000
pT3cls    pT3cls                                 0.147     0.252
T4chain   pT3cls                                 0.041     0.232
pT3cls    T4chain                                0.040     0.221
T4chain   barePLS,barePLS                        0.011     0.181
TOTAL                                           13.229    25.423

-- band e25_up --
dupClass  coveredWith                               CF       LST
barePLS   barePLS                               57.153    57.157
barePLS   barePLS,barePLS                        0.043     0.043
barePLS   T4chain                                0.002     0.004
barePLS   T5chain                                0.001     0.001
TOTAL                                           57.199    57.205

====================================================================================================
C. MULTI-TC SIM PROFILES per band (the PAIR patterns), per event
====================================================================================================
-- band e00_04 --
profile                                               CF       LST
T5chain+barePLS                                    3.317     0.565
T5chain+T5chain                                    0.035     0.231
T5chain+seeded                                     0.145     0.001
T4chain+barePLS                                    0.045     0.002
barePLS+seeded                                     0.001     0.032
T5chain+pT3cls                                     0.032     0.013
pT3cls+seeded                                      0.002     0.027
T5chain+T5chain+barePLS                            0.001     0.020
pT3cls+pT3cls                                      0.001     0.011
T4chain+T5chain                                    0.006     0.000
T4chain+seeded                                     0.005     0.000
T4chain+pT3cls                                     0.000     0.004
seeded+seeded                                      0.000     0.002
T5chain+T5chain+T5chain+barePLS                    0.000     0.001

-- band e04_08 --
profile                                               CF       LST
T5chain+barePLS                                    2.492     0.592
T5chain+seeded                                     0.476     0.002
T5chain+T5chain                                    0.136     0.189
pT3cls+seeded                                      0.001     0.092
T5chain+pT3cls                                     0.090     0.017
T4chain+barePLS                                    0.079     0.024
T4chain+pT3cls                                     0.004     0.059
barePLS+seeded                                     0.008     0.046
pT3cls+pT3cls                                      0.001     0.038
T4chain+T5chain                                    0.031     0.000
seeded+seeded                                      0.000     0.016
T4chain+seeded                                     0.008     0.000
T5chain+T5chain+barePLS                            0.003     0.006
T4chain+T4chain                                    0.004     0.000

-- band e08_11 --
profile                                               CF       LST
T5chain+barePLS                                    1.419     0.356
T5chain+seeded                                     0.327     0.000
pT3cls+seeded                                      0.000     0.216
T5chain+T5chain                                    0.128     0.076
T5chain+pT3cls                                     0.046     0.010
T4chain+barePLS                                    0.043     0.012
T4chain+T5chain                                    0.031     0.000
T4chain+pT3cls                                     0.001     0.023
seeded+seeded                                      0.000     0.018
barePLS+seeded                                     0.010     0.017
pT3cls+pT3cls                                      0.000     0.016
T4chain+seeded                                     0.006     0.000
T4chain+T4chain                                    0.002     0.000
T5chain+T5chain+barePLS                            0.001     0.000

-- band e11_14 --
profile                                               CF       LST
T5chain+barePLS                                    1.200     0.248
T5chain+seeded                                     0.584     0.000
T5chain+T5chain                                    0.207     0.104
pT3cls+seeded                                      0.004     0.100
T5chain+pT3cls                                     0.064     0.004
seeded+seeded                                      0.004     0.051
barePLS+seeded                                     0.002     0.040
pT3cls+pT3cls                                      0.000     0.032
T4chain+T5chain                                    0.028     0.000
T4chain+seeded                                     0.016     0.000
T4chain+barePLS                                    0.009     0.002
T4chain+pT3cls                                     0.000     0.003
T5chain+T5chain+barePLS                            0.002     0.001
T4chain+T4chain                                    0.001     0.000

-- band e14_17 --
profile                                               CF       LST
T5chain+barePLS                                    1.806     0.544
barePLS+seeded                                     0.041     0.262
T5chain+seeded                                     0.233     0.000
pT3cls+seeded                                      0.029     0.138
T5chain+pT3cls                                     0.091     0.009
T4chain+pT3cls                                     0.013     0.090
T5chain+T5chain                                    0.061     0.059
pT3cls+pT3cls                                      0.003     0.056
T4chain+seeded                                     0.035     0.050
T4chain+barePLS                                    0.031     0.043
seeded+seeded                                      0.005     0.038
T4chain+T5chain                                    0.012     0.024
barePLS+pT3cls                                     0.001     0.007
T4chain+T5chain+barePLS                            0.000     0.005

-- band e17_21 --
profile                                               CF       LST
T5chain+barePLS                                    2.362     1.146
barePLS+seeded                                     0.117     1.924
T5chain+seeded                                     0.687     0.000
T4chain+pT3cls                                     0.067     0.364
T4chain+barePLS                                    0.218     0.347
pT3cls+seeded                                      0.187     0.269
T5chain+T5chain                                    0.181     0.125
barePLS+barePLS                                    0.127     0.166
T4chain+T5chain                                    0.043     0.149
seeded+seeded                                      0.049     0.148
T4chain+seeded                                     0.118     0.145
T5chain+pT3cls                                     0.139     0.027
pT3cls+pT3cls                                      0.003     0.083
barePLS+pT3cls                                     0.006     0.049

-- band e21_25 --
profile                                               CF       LST
barePLS+barePLS                                    3.551     3.965
barePLS+seeded                                     0.176     3.464
T4chain+barePLS                                    0.387     2.561
T5chain+barePLS                                    1.364     0.915
barePLS+pT3cls                                     0.165     0.607
pT3cls+seeded                                      0.313     0.371
T5chain+seeded                                     0.315     0.000
T4chain+pT3cls                                     0.041     0.222
T4chain+barePLS+barePLS                            0.011     0.181
pT3cls+pT3cls                                      0.074     0.126
T5chain+T5chain                                    0.048     0.068
T4chain+seeded                                     0.061     0.034
T4chain+T5chain                                    0.036     0.002
seeded+seeded                                      0.032     0.033

-- band e25_up --
profile                                               CF       LST
barePLS+barePLS                                   28.575    28.577
barePLS+barePLS+barePLS                            0.014     0.014

