=== bestChainLogit(-RPSA) : predicted per-band dup rate and efficiency cost ===
band        thr        A        B        C    dupRate      d_eff      vsLST
TRANS      -0.5    2.770    2.520    0.137    0.01120   -0.00130   -0.00188
TRANS       0.0    2.256    1.670    0.090    0.01445   -0.00086   +0.00137
TRANS       0.5    1.900    1.083    0.073    0.01668   -0.00056   +0.00360
TRANS       1.0    1.763    0.900    0.060    0.01754   -0.00047   +0.00446
TRANS       1.5    1.663    0.770    0.043    0.01816   -0.00040   +0.00508
TRANS       2.0    1.503    0.623    0.030    0.01916   -0.00032   +0.00608
TRANS       2.5    1.327    0.497    0.023    0.02027   -0.00026   +0.00719
TRANS       3.0    1.087    0.400    0.017    0.02177   -0.00021   +0.00869
TRANS       3.5    0.913    0.283    0.017    0.02286   -0.00015   +0.00978
TRANS       4.0    0.743    0.227    0.013    0.02392   -0.00012   +0.01084
TRANS       4.5    0.590    0.190    0.013    0.02488   -0.00010   +0.01180
TRANS       5.0    0.460    0.153    0.010    0.02569   -0.00008   +0.01261
TRANS       5.5    0.377    0.137    0.010    0.02621   -0.00007   +0.01313
TRANS       6.0    0.303    0.133    0.010    0.02667   -0.00007   +0.01359
TRANS       6.5    0.277    0.133    0.010    0.02684   -0.00007   +0.01376
TRANS       7.0    0.253    0.133    0.010    0.02699   -0.00007   +0.01391
TRANS       7.5    0.237    0.133    0.010    0.02709   -0.00007   +0.01401
TRANS       8.0    0.227    0.133    0.007    0.02715   -0.00007   +0.01407
TRANS       8.5    0.223    0.133    0.007    0.02717   -0.00007   +0.01409
TRANS       9.0    0.220    0.133    0.007    0.02719   -0.00007   +0.01411
ENDCAP     -2.0    4.123   30.903    5.553    0.06331   -0.00699   -0.02155
ENDCAP     -1.5    3.190    8.027    1.113    0.06337   -0.00182   -0.02149
ENDCAP     -1.0    2.880    6.533    0.837    0.06380   -0.00148   -0.02106
ENDCAP     -0.5    2.226    4.880    0.620    0.06479   -0.00110   -0.02007
ENDCAP      0.0    0.733    1.190    0.283    0.06706   -0.00027   -0.01780
ENDCAP      0.5    0.330    0.290    0.160    0.06768   -0.00007   -0.01718
ENDCAP      1.0    0.277    0.197    0.113    0.06776   -0.00004   -0.01710
ENDCAP      1.5    0.227    0.147    0.083    0.06783   -0.00003   -0.01703
ENDCAP      2.0    0.193    0.113    0.063    0.06789   -0.00003   -0.01697
ENDCAP      2.5    0.157    0.090    0.053    0.06795   -0.00002   -0.01691
ENDCAP      3.0    0.140    0.063    0.043    0.06797   -0.00001   -0.01689
ENDCAP      3.5    0.097    0.047    0.037    0.06804   -0.00001   -0.01682
ENDCAP      4.0    0.070    0.037    0.037    0.06809   -0.00001   -0.01677
ENDCAP      4.5    0.057    0.033    0.030    0.06811   -0.00001   -0.01675
ENDCAP      5.0    0.043    0.033    0.030    0.06813   -0.00001   -0.01673
ENDCAP      5.5    0.033    0.030    0.027    0.06815   -0.00001   -0.01671
ENDCAP      6.0    0.033    0.027    0.027    0.06815   -0.00001   -0.01671
ENDCAP      6.5    0.030    0.027    0.027    0.06815   -0.00001   -0.01671
ENDCAP      7.0    0.030    0.027    0.027    0.06815   -0.00001   -0.01671
ENDCAP      7.5    0.030    0.023    0.027    0.06815   -0.00001   -0.01671
ENDCAP      8.0    0.030    0.023    0.027    0.06815   -0.00001   -0.01671
ENDCAP      8.5    0.030    0.023    0.027    0.06815   -0.00001   -0.01671
ENDCAP      9.0    0.030    0.023    0.027    0.06815   -0.00001   -0.01671

