events = 300

=== UNIVERSE (post-deletion bare seeds), per event ===
group              class                    N  consumed  RPSblock  XCretire   SURVIVE
e24_up                4.0     0.000     0.007     0.130     0.007      0.05     0.013
e24_up                4.5     0.000     0.007     0.080     0.007      0.08     0.013
e24_up                5.0     0.000     0.007     0.040     0.003      0.17     0.013
  (dupTCgain = 2 x A retired: the seed row AND its partner both stop being duplicates; upper bound, exact when the sim has exactly 2 TCs)

=== FRONTIER  var=bestSeedlessInWin(-XCT)  (fate=SURVIVE only), per event ===
group                 thr   A_seedl   A_other   B_noCov   C_noTru       A/B dupTCgain
e00_06               -2.0     4.140     0.020    11.777     0.343      0.35     8.320
e00_06               -1.5     3.687     0.013     6.093     0.197      0.61     7.400
e00_06               -1.0     3.617     0.013     5.087     0.170      0.71     7.260
e00_06               -0.5     3.560     0.010     4.283     0.157      0.83     7.140
e00_06                0.0     3.527     0.010     3.533     0.120      1.00     7.073
e00_06                0.5     3.453     0.010     2.813     0.087      1.23     6.927
e00_06                1.0     3.300     0.010     2.187     0.070      1.51     6.620
e00_06                1.5     3.050     0.007     1.750     0.057      1.75     6.113
e00_06                2.0     2.660     0.007     1.320     0.053      2.02     5.333
e00_06                2.5     2.223     0.000     0.970     0.040      2.29     4.447
e00_06                3.0     1.663     0.000     0.587     0.027      2.84     3.327
e00_06                3.5     0.977     0.000     0.257     0.010      3.81     1.953
e06_11               -2.0     2.513     0.017     7.433     0.283      0.34     5.060
e06_11               -1.5     2.353     0.007     4.510     0.197      0.52     4.720
e06_11               -1.0     2.333     0.007     3.877     0.137      0.60     4.680
e06_11               -0.5     2.303     0.003     3.273     0.093      0.70     4.613
e06_11                0.0     2.277     0.003     2.703     0.077      0.84     4.560
e06_11                0.5     2.203     0.003     2.133     0.063      1.03     4.413
e06_11                1.0     2.100     0.003     1.743     0.050      1.21     4.207
e06_11                1.5     1.937     0.003     1.277     0.037      1.52     3.880
e06_11                2.0     1.700     0.003     0.953     0.023      1.79     3.407
e06_11                2.5     1.390     0.003     0.713     0.023      1.95     2.787
e06_11                3.0     1.073     0.000     0.477     0.023      2.25     2.147
e06_11                3.5     0.627     0.000     0.217     0.017      2.89     1.253
e11_17               -2.0     3.200     0.047    10.290     1.020      0.32     6.493
e11_17               -1.5     3.173     0.040     7.233     0.513      0.44     6.427
e11_17               -1.0     3.167     0.037     6.240     0.400      0.51     6.407
e11_17               -0.5     3.147     0.033     5.300     0.303      0.60     6.360
e11_17                0.0     3.123     0.030     4.253     0.227      0.74     6.307
e11_17                0.5     3.093     0.027     3.320     0.160      0.94     6.240
e11_17                1.0     3.030     0.020     2.460     0.100      1.24     6.100
e11_17                1.5     2.833     0.020     1.760     0.080      1.62     5.707
e11_17                2.0     2.583     0.013     1.263     0.063      2.06     5.193
e11_17                2.5     2.183     0.007     0.817     0.047      2.68     4.380
e11_17                3.0     1.720     0.007     0.477     0.030      3.62     3.453
e11_17                3.5     1.000     0.003     0.243     0.010      4.12     2.007
e17_24               -2.0     3.760     0.200    23.227     5.057      0.17     7.920
e17_24               -1.5     3.723     0.140    15.647     2.650      0.25     7.727
e17_24               -1.0     3.707     0.123    13.430     2.150      0.29     7.660
e17_24               -0.5     3.680     0.103    11.277     1.743      0.34     7.567
e17_24                0.0     3.660     0.087     9.247     1.383      0.41     7.493
e17_24                0.5     3.613     0.070     7.170     1.077      0.51     7.367
e17_24                1.0     3.507     0.053     5.187     0.780      0.69     7.120
e17_24                1.5     3.257     0.050     3.710     0.603      0.89     6.613
e17_24                2.0     2.790     0.020     2.600     0.473      1.08     5.620
e17_24                2.5     2.197     0.007     1.633     0.343      1.35     4.407
e17_24                3.0     1.543     0.003     0.943     0.200      1.64     3.093
e17_24                3.5     0.837     0.000     0.443     0.100      1.89     1.673
e24_up               -2.0     0.163     0.000     7.677     0.497      0.02     0.327
e24_up               -1.5     0.160     0.000     3.893     0.220      0.04     0.320
e24_up               -1.0     0.160     0.000     3.173     0.173      0.05     0.320
e24_up               -0.5     0.160     0.000     2.627     0.170      0.06     0.320
e24_up                0.0     0.157     0.000     2.180     0.143      0.07     0.313
e24_up                0.5     0.157     0.000     1.717     0.117      0.09     0.313
e24_up                1.0     0.147     0.000     1.243     0.083      0.12     0.293
e24_up                1.5     0.137     0.000     0.887     0.070      0.15     0.273
e24_up                2.0     0.130     0.000     0.613     0.057      0.21     0.260
e24_up                2.5     0.107     0.000     0.397     0.043      0.27     0.213
e24_up                3.0     0.083     0.000     0.240     0.033      0.35     0.167
e24_up                3.5     0.043     0.000     0.113     0.017      0.38     0.087
  (dupTCgain = 2 x A retired: the seed row AND its partner both stop being duplicates; upper bound, exact when the sim has exactly 2 TCs)

=== FRONTIER  var=bestSeedlessAnyDR  (fate=SURVIVE only), per event ===
group                 thr   A_seedl   A_other   B_noCov   C_noTru       A/B dupTCgain
e00_06               -2.0     4.853     0.030    25.313     0.690      0.19     9.767
e00_06               -1.5     4.853     0.020    16.440     0.493      0.30     9.747
e00_06               -1.0     4.843     0.020    12.727     0.393      0.38     9.727
e00_06               -0.5     4.840     0.017     9.540     0.310      0.51     9.713
