events = 300

=== UNIVERSE (post-deletion bare seeds), per event ===
group              class                    N  consumed  RPSblock  XCretire   SURVIVE
BARREL |eta|<1.1      4.5     1.120     0.017     0.293     0.017      3.88     2.273   -0.00014
BARREL |eta|<1.1      5.0     0.743     0.010     0.137     0.013      5.51     1.507   -0.00006
TRANS 1.1-1.7        -2.0     3.237     0.097    19.157     2.097      0.17     6.667   -0.00990
TRANS 1.1-1.7        -1.5     3.233     0.097    18.463     1.913      0.18     6.660   -0.00954
TRANS 1.1-1.7        -1.0     3.227     0.093    17.417     1.703      0.19     6.640   -0.00900
TRANS 1.1-1.7        -0.5     3.200     0.090    15.617     1.450      0.21     6.580   -0.00807
TRANS 1.1-1.7         0.0     3.180     0.090    13.113     1.110      0.25     6.540   -0.00678
TRANS 1.1-1.7         0.5     3.150     0.087    10.093     0.743      0.32     6.473   -0.00522
TRANS 1.1-1.7         1.0     3.087     0.087     7.103     0.513      0.45     6.347   -0.00367
TRANS 1.1-1.7         1.5     2.877     0.087     4.677     0.353      0.63     5.927   -0.00242
TRANS 1.1-1.7         2.0     2.620     0.087     3.103     0.220      0.87     5.413   -0.00160
TRANS 1.1-1.7         2.5     2.207     0.083     1.960     0.133      1.17     4.580   -0.00101
TRANS 1.1-1.7         3.0     1.747     0.077     1.153     0.097      1.58     3.647   -0.00060
TRANS 1.1-1.7         3.5     1.023     0.073     0.673     0.053      1.63     2.193   -0.00035
TRANS 1.1-1.7         4.0     0.033     0.070     0.263     0.033      0.39     0.207   -0.00014
TRANS 1.1-1.7         4.5     0.020     0.050     0.143     0.027      0.49     0.140   -0.00007
TRANS 1.1-1.7         5.0     0.010     0.027     0.033     0.017      1.10     0.073   -0.00002
ENDCAP >1.7          -2.0     4.283     0.683   101.243    15.490      0.05     9.933   -0.02291
ENDCAP >1.7          -1.5     4.123     0.643    74.453    11.980      0.06     9.533   -0.01685
ENDCAP >1.7          -1.0     4.053     0.620    66.850    10.743      0.07     9.347   -0.01513
ENDCAP >1.7          -0.5     3.980     0.593    58.047     9.073      0.08     9.147   -0.01314
ENDCAP >1.7           0.0     3.840     0.567    47.753     7.150      0.09     8.813   -0.01081
ENDCAP >1.7           0.5     3.720     0.517    37.310     5.273      0.11     8.473   -0.00844
ENDCAP >1.7           1.0     3.520     0.483    27.150     3.717      0.15     8.007   -0.00614
ENDCAP >1.7           1.5     3.240     0.457    18.333     2.570      0.20     7.393   -0.00415
ENDCAP >1.7           2.0     2.747     0.403    12.330     1.713      0.26     6.300   -0.00279
ENDCAP >1.7           2.5     2.210     0.367     8.117     1.140      0.32     5.153   -0.00184
ENDCAP >1.7           3.0     1.603     0.340     5.453     0.803      0.36     3.887   -0.00123
ENDCAP >1.7           3.5     0.910     0.327     3.510     0.533      0.35     2.473   -0.00079
ENDCAP >1.7           4.0     0.103     0.293     2.007     0.287      0.20     0.793   -0.00045
ENDCAP >1.7           4.5     0.050     0.237     1.187     0.143      0.24     0.573   -0.00027
ENDCAP >1.7           5.0     0.023     0.123     0.467     0.057      0.31     0.293   -0.00011
  (dupTCgain = 2 x A retired: the seed row AND its partner both stop being duplicates; upper bound, exact when the sim has exactly 2 TCs)

=== FRONTIER  var=bestSeedlessInWin(-XCT)  (fate=SURVIVE only), per event ===
group                 thr   A_seedl   A_other   B_noCov   C_noTru       A/B dupTCgain  d_eff_est
BARREL |eta|<1.1     -2.0     6.653     0.037    19.210     0.627      0.35    13.380   -0.00903
BARREL |eta|<1.1     -1.5     6.040     0.020    10.603     0.393      0.57    12.120   -0.00499
BARREL |eta|<1.1     -1.0     5.950     0.020     8.963     0.307      0.67    11.940   -0.00421
BARREL |eta|<1.1     -0.5     5.863     0.013     7.557     0.250      0.78    11.753   -0.00355
BARREL |eta|<1.1      0.0     5.803     0.013     6.237     0.197      0.93    11.633   -0.00293
BARREL |eta|<1.1      0.5     5.657     0.013     4.947     0.150      1.15    11.340   -0.00233
BARREL |eta|<1.1      1.0     5.400     0.013     3.930     0.120      1.38    10.827   -0.00185
BARREL |eta|<1.1      1.5     4.987     0.010     3.027     0.093      1.65     9.993   -0.00142
BARREL |eta|<1.1      2.0     4.360     0.010     2.273     0.077      1.92     8.740   -0.00107
BARREL |eta|<1.1      2.5     3.613     0.003     1.683     0.063      2.15     7.233   -0.00079
BARREL |eta|<1.1      3.0     2.737     0.000     1.063     0.050      2.57     5.473   -0.00050
BARREL |eta|<1.1      3.5     1.603     0.000     0.473     0.027      3.39     3.207   -0.00022
TRANS 1.1-1.7        -2.0     3.200     0.047    10.290     1.020      0.32     6.493   -0.00532
TRANS 1.1-1.7        -1.5     3.173     0.040     7.233     0.513      0.44     6.427   -0.00374
TRANS 1.1-1.7        -1.0     3.167     0.037     6.240     0.400      0.51     6.407   -0.00323
TRANS 1.1-1.7        -0.5     3.147     0.033     5.300     0.303      0.60     6.360   -0.00274
TRANS 1.1-1.7         0.0     3.123     0.030     4.253     0.227      0.74     6.307   -0.00220
TRANS 1.1-1.7         0.5     3.093     0.027     3.320     0.160      0.94     6.240   -0.00172
TRANS 1.1-1.7         1.0     3.030     0.020     2.460     0.100      1.24     6.100   -0.00127
TRANS 1.1-1.7         1.5     2.833     0.020     1.760     0.080      1.62     5.707   -0.00091
TRANS 1.1-1.7         2.0     2.583     0.013     1.263     0.063      2.06     5.193   -0.00065
TRANS 1.1-1.7         2.5     2.183     0.007     0.817     0.047      2.68     4.380   -0.00042
TRANS 1.1-1.7         3.0     1.720     0.007     0.477     0.030      3.62     3.453   -0.00025
TRANS 1.1-1.7         3.5     1.000     0.003     0.243     0.010      4.12     2.007   -0.00013
ENDCAP >1.7          -2.0     3.923     0.200    30.903     5.553      0.13     8.247   -0.00699
ENDCAP >1.7          -1.5     3.883     0.140    19.540     2.870      0.21     8.047   -0.00442
ENDCAP >1.7          -1.0     3.867     0.123    16.603     2.323      0.24     7.980   -0.00376
ENDCAP >1.7          -0.5     3.840     0.103    13.903     1.913      0.28     7.887   -0.00315
ENDCAP >1.7           0.0     3.817     0.087    11.427     1.527      0.34     7.807   -0.00259
ENDCAP >1.7           0.5     3.770     0.070     8.887     1.193      0.43     7.680   -0.00201
ENDCAP >1.7           1.0     3.653     0.053     6.430     0.863      0.58     7.413   -0.00146
ENDCAP >1.7           1.5     3.393     0.050     4.597     0.673      0.75     6.887   -0.00104
ENDCAP >1.7           2.0     2.920     0.020     3.213     0.530      0.91     5.880   -0.00073
ENDCAP >1.7           2.5     2.303     0.007     2.030     0.387      1.14     4.620   -0.00046
ENDCAP >1.7           3.0     1.627     0.003     1.183     0.233      1.38     3.260   -0.00027
ENDCAP >1.7           3.5     0.880     0.000     0.557     0.117      1.58     1.760   -0.00013
  (dupTCgain = 2 x A retired: the seed row AND its partner both stop being duplicates; upper bound, exact when the sim has exactly 2 TCs)

=== FRONTIER  var=bestSeedlessAnyDR  (fate=SURVIVE only), per event ===
group                 thr   A_seedl   A_other   B_noCov   C_noTru       A/B dupTCgain  d_eff_est
BARREL |eta|<1.1     -2.0     7.677     0.060    40.303     1.290      0.19    15.473   -0.01895
BARREL |eta|<1.1     -1.5     7.673     0.040    27.513     0.960      0.28    15.427   -0.01294
BARREL |eta|<1.1     -1.0     7.660     0.037    21.727     0.713      0.35    15.393   -0.01022
BARREL |eta|<1.1     -0.5     7.650     0.027    16.353     0.557      0.47    15.353   -0.00769
BARREL |eta|<1.1      0.0     7.620     0.023    11.770     0.383      0.65    15.287   -0.00553
BARREL |eta|<1.1      0.5     7.480     0.013     8.300     0.217      0.90    14.987   -0.00390
BARREL |eta|<1.1      1.0     7.217     0.013     5.873     0.163      1.23    14.460   -0.00276
BARREL |eta|<1.1      1.5     6.770     0.010     4.280     0.123      1.58    13.560   -0.00201
BARREL |eta|<1.1      2.0     6.083     0.010     3.040     0.093      2.00    12.187   -0.00143
BARREL |eta|<1.1      2.5     5.280     0.003     2.163     0.070      2.44    10.567   -0.00102
BARREL |eta|<1.1      3.0     4.357     0.000     1.353     0.057      3.22     8.713   -0.00064
BARREL |eta|<1.1      3.5     3.137     0.000     0.663     0.033      4.73     6.273   -0.00031
BARREL |eta|<1.1      4.0     1.390     0.000     0.123     0.007     11.27     2.780   -0.00006
BARREL |eta|<1.1      4.5     1.163     0.000     0.073     0.007     15.86     2.327   -0.00003
BARREL |eta|<1.1      5.0     0.797     0.000     0.047     0.003     17.07     1.593   -0.00002
BARREL |eta|<1.1      5.5     0.057     0.000     0.000     0.000       inf     0.113   -0.00000
BARREL |eta|<1.1      6.0     0.040     0.000     0.000     0.000       inf     0.080   -0.00000
BARREL |eta|<1.1      6.5     0.030     0.000     0.000     0.000       inf     0.060   -0.00000
BARREL |eta|<1.1      7.0     0.030     0.000     0.000     0.000       inf     0.060   -0.00000
BARREL |eta|<1.1      7.5     0.023     0.000     0.000     0.000       inf     0.047   -0.00000
BARREL |eta|<1.1      8.0     0.003     0.000     0.000     0.000       inf     0.007   -0.00000
TRANS 1.1-1.7        -2.0     3.237     0.097    18.970     2.077      0.18     6.667   -0.00981
TRANS 1.1-1.7        -1.5     3.237     0.077    14.757     1.353      0.22     6.627   -0.00763
TRANS 1.1-1.7        -1.0     3.230     0.073    12.433     1.103      0.27     6.607   -0.00643
TRANS 1.1-1.7        -0.5     3.227     0.063    10.110     0.793      0.33     6.580   -0.00523
TRANS 1.1-1.7         0.0     3.210     0.053     7.757     0.583      0.42     6.527   -0.00401
TRANS 1.1-1.7         0.5     3.173     0.043     5.580     0.370      0.58     6.433   -0.00288
TRANS 1.1-1.7         1.0     3.107     0.033     3.750     0.240      0.84     6.280   -0.00194
TRANS 1.1-1.7         1.5     2.897     0.023     2.397     0.170      1.22     5.840   -0.00124
TRANS 1.1-1.7         2.0     2.647     0.013     1.600     0.110      1.66     5.320   -0.00083
