A. HEADLINE
tag                       eff    vxy01      v15     v510    v1030      d15     d510    d1030      dup     fake      nhB      nhT      nhE      nTC
A15GATE               0.80992  0.84282  0.79459  0.73356  0.74139  0.61650  0.20161  0.03073  0.06230  0.05551  9.80254  9.87906  3.55956   618793
A15G2                 0.80992  0.84282  0.79459  0.73356  0.74139  0.61650  0.20161  0.03073  0.06230  0.05551  9.80254  9.87906  3.55956   618793
X4T6                  0.80988  0.84277  0.79459  0.73356  0.74139  0.61650  0.20161  0.03073  0.05745  0.05562  9.80555  9.90478  3.57424   616984
X4T5                  0.80979  0.84268  0.79459  0.73356  0.74139  0.61650  0.20161  0.03073  0.05696  0.05563  9.80739  9.90632  3.57622   616746
X4                    0.80979  0.84268  0.79459  0.73356  0.74139  0.61650  0.20161  0.03073  0.05668  0.05562  9.80890  9.90786  3.57795   616531
X4D                   0.80979  0.84268  0.79459  0.73356  0.74139  0.61650  0.20161  0.03073  0.05668  0.05562  9.80890  9.90786  3.57795   616531
X4T3                  0.80957  0.84244  0.79386  0.73187  0.74139  0.61650  0.20161  0.03073  0.05648  0.05560  9.81061  9.90876  3.57985   616317
LST(base)             0.80988  0.84296  0.77193  0.65430  0.66453  0.55407  0.20968  0.05674  0.05179  0.04476 10.14804 10.01546  3.56248   608190

B. PER REGION
tag                      effB     effT     effE     dupB     dupT     dupE     fakB     fakT     fakE
A15GATE               0.92660  0.88213  0.74496  0.04344  0.03431  0.08106  0.06680  0.06903  0.04525
A15G2                 0.92660  0.88213  0.74496  0.04344  0.03431  0.08106  0.06680  0.06903  0.04525
X4T6                  0.92660  0.88187  0.74496  0.04313  0.02945  0.07375  0.06681  0.06917  0.04537
X4T5                  0.92660  0.88136  0.74496  0.04298  0.02936  0.07296  0.06681  0.06915  0.04539
X4                    0.92660  0.88136  0.74496  0.04286  0.02921  0.07256  0.06682  0.06916  0.04536
X4D                   0.92660  0.88136  0.74496  0.04286  0.02921  0.07256  0.06682  0.06916  0.04536
X4T3                  0.92637  0.88136  0.74463  0.04275  0.02913  0.07228  0.06682  0.06917  0.04531
LST(base)             0.92557  0.88187  0.74596  0.00989  0.01264  0.08556  0.04249  0.04454  0.04603
