tag                eff     v15    v510   v1030     d15    d510 |    nhB    nhT    nhE |   fake    dup   dupB   dupE |  dupWin   otWin   chTC    ms   ext%
ex_r25_30       0.8118  0.8007  0.7256  0.7165  0.5612  71/285|  9.920  9.952  3.459 | 0.0488 0.0569 0.0138 0.0900 |  0.0959   5.695 303191   273   9.1% FAIL:EFF,V15,V510,V1030,D15,FAKE
ex_r15_10       0.8129  0.8028  0.7287  0.7198  0.5633  71/285|  9.844  9.769  3.440 | 0.0477 0.0570 0.0139 0.0901 |  0.0961   5.642 303191   269   3.5% pass
ex_r20_08       0.8129  0.8028  0.7287  0.7198  0.5633  71/285|  9.839  9.776  3.441 | 0.0478 0.0570 0.0139 0.0901 |  0.0961   5.645 303191   270   3.6% pass
ex_r25_07       0.8128  0.8028  0.7287  0.7198  0.5633  71/285|  9.836  9.782  3.442 | 0.0478 0.0570 0.0139 0.0901 |  0.0961   5.646 303191   270   3.7% pass
ex_r25_10       0.8126  0.8028  0.7287  0.7198  0.5633  71/285|  9.854  9.818  3.447 | 0.0480 0.0570 0.0139 0.0901 |  0.0961   5.657 303191   272   4.9% FAIL:EFF
ex_r25_10u      0.8128  0.8028  0.7287  0.7198  0.5633  71/285|  9.848  9.803  3.443 | 0.0479 0.0570 0.0139 0.0901 |  0.0961   5.651 303191   270   4.3% pass
ex_u50_25       0.8128  0.8021  0.7287  0.7190  0.5633  71/285|  9.822  9.772  3.437 | 0.0478 0.0570 0.0139 0.0901 |  0.0962   5.639 303191   272   2.9% FAIL:V15
ex_l5_w50       0.8127  0.8021  0.7287  0.7190  0.5633  71/285|  9.826  9.781  3.439 | 0.0479 0.0570 0.0139 0.0901 |  0.0961   5.642 303191   271   3.3% FAIL:EFF,V15
ex_f105_w50     0.8127  0.8021  0.7287  0.7190  0.5633  71/285|  9.826  9.782  3.439 | 0.0479 0.0570 0.0139 0.0901 |  0.0961   5.643 303191   272   3.3% FAIL:EFF,V15
ex_s1_w25r10    0.8130  0.8035  0.7287  0.7198  0.5633  71/285|  9.846  9.793  3.442 | 0.0475 0.0571 0.0140 0.0902 |  0.0962   5.649 303191   264   4.1% pass
