tag              eff     v15    v510   v1030     d15  d510    fake     dup |    dupB    dupT    dupE     nTC |    nhb    nht    nhe |  ms/ev   nev  FLOORS
wz15_20Lfbc  0.81285 0.80495 0.72871 0.71895 0.56223    72 0.04645 0.05288 | 0.01384 0.01793 0.08415  614508 |  9.830  9.743  3.420 |  265.6   300  PASS
wz15_20Lfbcn3 0.81290 0.80495 0.72871 0.71895 0.56223    72 0.04646 0.05295 | 0.01384 0.01795 0.08427  614545 |  9.830  9.744  3.421 |  265.6   300  PASS
wz15_20Lfbcbt4 0.81263 0.80495 0.72871 0.71895 0.56116    72 0.04648 0.05289 | 0.01381 0.01781 0.08422  614508 |  9.844  9.764  3.432 |  265.3   300  FAIL:eff,d15
wz15_15L     0.81246 0.80495 0.72871 0.71895 0.56223    72 0.04604 0.05216 | 0.01384 0.01726 0.08303  613909 |  9.830  9.742  3.410 |  265.6   300  FAIL:eff
wz15_15L3    0.81263 0.80495 0.72871 0.71895 0.56223    72 0.04604 0.05218 | 0.01389 0.01722 0.08306  613935 |  9.816  9.729  3.396 |  265.3   300  FAIL:eff
wz15_20Lfb19 0.81254 0.80353 0.72871 0.71895 0.56223    72 0.04595 0.05142 | 0.01384 0.01674 0.08186  613557 |  9.830  9.743  3.405 |  264.5   300  FAIL:eff
fb19L3       0.81272 0.80353 0.72871 0.71895 0.56223    72 0.04595 0.05144 | 0.01389 0.01670 0.08188  613583 |  9.816  9.730  3.391 |  264.5   300  PASS
fb19n3       0.81259 0.80353 0.72871 0.71895 0.56223    72 0.04595 0.05148 | 0.01384 0.01674 0.08197  613592 |  9.830  9.744  3.406 |  263.8   300  FAIL:eff
fb19fce      0.81254 0.80283 0.72871 0.71895 0.56223    72 0.04604 0.05155 | 0.01384 0.01673 0.08211  613675 |  9.830  9.744  3.407 |  264.4   300  FAIL:eff
wz17fb19     0.81263 0.80353 0.72871 0.71895 0.56223    72 0.04643 0.05230 | 0.01384 0.02243 0.08188  614218 |  9.830  9.745  3.405 |  264.6   300  FAIL:eff
