tag              eff   vxy01     v15    v510   v1030     d15    d510     dup    fake      nTC   pxRev   otRev   deliv
P25BASE      0.81303 0.84610 0.80283 0.72713 0.71732 0.56009 0.24912 0.05188 0.04636   614277       -       -       -
f_a7_n1      0.80385 0.83673 0.78799 0.72713 0.71814 0.55901 0.24912 0.04707 0.05152   610662   667.1   320.3   127.4
f_a75_Ln1    0.80394 0.83683 0.78869 0.72555 0.71814 0.55901 0.24912 0.04762 0.05002   608790   627.9   295.2   117.4
f_a7_Ln2     0.80478 0.83768 0.78940 0.72713 0.71814 0.55901 0.24912 0.05215 0.05252   613251   667.1   311.6   136.0
f_a8_Ln2     0.80403 0.83678 0.79223 0.72555 0.71814 0.55901 0.24912 0.05252 0.04945   608581   590.3   263.6   113.5
f_a85_n1     0.80131 0.83389 0.79011 0.72555 0.71814 0.55901 0.24912 0.04890 0.04860   604270   552.0   244.0    96.2
x_a75_n1     0.80394 0.83683 0.78869 0.72555 0.71814 0.55901 0.24912 0.04762 0.05002   608790   627.9   295.2   117.4
q_a75_L_n2   0.80486 0.83777 0.79011 0.72555 0.71814 0.55901 0.24912 0.05232 0.05064   610982   627.9   287.8   124.7
LST(base)    0.81355 0.84733 0.77314 0.65300 0.62908 0.49893 0.22807 0.05130 0.04550   610581
