t_c2_curve.root  (300 evts)
non-pT3-class rows/evt 1708.4 of which harness-duplicate 64.8 (0.0379)

T        rows/ev   distinct rows/dist   dupRows   dupFrac  fakeFrac
2.0       2377.2      721.2      3.30    1182.7    0.4975    0.4520
3.0       1969.1      714.9      2.75    1168.5    0.5934    0.3460
4.0       1673.6      706.7      2.37    1143.5    0.6833    0.2461
5.0       1448.5      693.4      2.09    1100.0    0.7594    0.1600
6.0       1269.9      669.9      1.90    1034.0    0.8142    0.0966
6.5       1189.9      652.6      1.82     992.0    0.8337    0.0734
7.0       1114.7      631.0      1.77     945.6    0.8483    0.0561
7.5       1040.4      604.0      1.72     894.7    0.8600    0.0429
8.0        967.4      572.4      1.69     841.6    0.8699    0.0328
8.5        892.3      534.6      1.67     783.9    0.8786    0.0255
9.0        814.3      491.1      1.66     722.2    0.8869    0.0201
9.5        732.3      443.1      1.65     656.2    0.8961    0.0160
10.0       645.8      391.2      1.65     584.9    0.9057    0.0129
11.0       465.6      286.5      1.62     430.9    0.9256    0.0088
12.0       288.2      190.1      1.52     271.0    0.9402    0.0072

LST reference (same measure on its own delivered pT3 rows) is printed by
gc_dupdiag_lst.py; the target is rows/distinct near 1.0.
