# iev sim ltype t3a t3b edgeIdx edgeType edgeLogit chainA chainB adjacent weldedOurEdge nNodesA nLayersA nNodesB nLayersB scorePre dca mP mD mX exempt branch killed thetaPass pixDrop accepted isTC tcType stealAType stealBType stealALogit stealBLogit
68 116 9 1124 3763 139235 2 -0.59770 -1 -1 0 0 0 0 0 0 0.00000 -1.00000 0.00000 0.00000 0.00000 0 -1 0 0 0 0 0 0 0 0 0.00000 0.00000
69 199 4 14189 1982 3843 1 1.81245 3132 3134 0 0 2 5 2 5 4.43881 12.51762 -0.31474 0.11009 0.11009 1 3 0 1 0 1 1 4 1 1 1.93881 1.77588
70 270 9 27265 36526 72145 2 0.95904 -1 4307 0 0 0 0 2 4 0.00000 -1.00000 0.00000 0.00000 0.00000 0 -1 0 0 0 0 0 0 0 2 0.00000 1.30137
76 1059 4 21342 3511 4574 1 1.03111 4306 5039 0 0 2 5 2 4 3.62113 8.76836 -1.81524 -1.96267 -1.81524 1 3 1 0 0 0 0 0 1 2 1.12113 0.29519
99 890 4 21766 51752 75779 1 1.34225 4506 4506 1 1 2 5 2 5 3.84225 15.88698 2.25897 2.35659 2.35659 1 3 0 1 0 1 1 4 0 0 0.00000 0.00000
103 975 4 21107 52631 82603 1 -1.02819 -1 5599 0 0 0 0 2 4 0.00000 -1.00000 0.00000 0.00000 0.00000 0 -1 0 0 0 0 0 0 0 2 0.00000 0.05274
103 976 4 21105 52618 82503 1 0.67970 4566 4565 0 0 2 4 2 5 2.11220 13.20247 -4.77995 -4.01009 -4.01009 1 0 1 0 0 0 0 0 2 1 0.11220 0.94940
111 298 9 23166 3079 44006 2 1.52679 3816 3162 0 0 2 4 2 5 2.65917 15.92068 -6.98959 -4.83472 -4.83472 1 0 1 0 0 0 0 0 2 1 0.65917 1.93342
112 654 9 27490 39224 96722 2 0.57901 4556 4556 1 1 2 4 2 4 2.57901 14.32293 -0.73351 -0.21428 -0.21428 1 0 0 1 0 1 1 9 0 0 0.00000 0.00000
118 786 9 25936 38596 90275 2 -1.06487 -1 -1 0 0 0 0 0 0 0.00000 -1.00000 0.00000 0.00000 0.00000 0 -1 0 0 0 0 0 0 0 0 0.00000 0.00000
120 424 9 32788 3720 115483 2 1.07828 5006 5006 1 1 2 4 2 4 3.07828 7.88577 -3.10296 -1.94685 -1.94685 1 0 1 0 0 0 0 0 0 0 0.00000 0.00000
121 1110 9 16378 26187 48826 2 -0.71377 -1 -1 0 0 0 0 0 0 0.00000 -1.00000 0.00000 0.00000 0.00000 0 -1 0 0 0 0 0 0 0 0 0.00000 0.00000
135 280 9 39091 47939 138123 2 0.50624 4711 4711 1 1 3 5 3 5 3.11349 9.82717 -4.56123 -2.61012 -2.61012 1 3 1 0 0 0 0 0 0 0 0.00000 0.00000
140 362 9 22549 35638 83607 2 0.20221 1317 2994 0 0 3 6 2 5 3.67058 9.86355 -4.19650 -2.68033 -2.68033 1 3 1 0 0 0 0 0 2 1 0.05373 1.30738
151 438 4 22174 43437 60717 1 1.62167 4326 4326 1 1 2 5 2 5 4.12167 13.33304 0.74614 1.87969 1.87969 1 3 0 1 0 0 0 0 0 0 0.00000 0.00000
158 1055 4 20343 36188 51267 1 -1.18374 -1 4094 0 0 0 0 3 5 0.00000 -1.00000 0.00000 0.00000 0.00000 0 -1 0 0 0 0 0 0 0 2 0.00000 0.71038
159 829 9 33646 43009 96088 2 -0.82133 -1 -1 0 0 0 0 0 0 0.00000 -1.00000 0.00000 0.00000 0.00000 0 -1 0 0 0 0 0 0 0 0 0.00000 0.00000
162 836 9 886 3055 117347 2 1.89303 1081 1081 1 1 3 6 3 6 6.94558 4.39314 -2.40100 -1.40784 -1.40784 1 3 0 1 0 1 1 4 0 0 0.00000 0.00000
165 741 9 25550 37639 101495 2 0.42556 4288 4288 1 1 2 4 2 4 2.42556 13.04174 -1.97375 -0.90500 -0.90500 1 0 1 0 0 0 0 0 0 0 0.00000 0.00000
177 929 4 15102 35055 40602 1 -0.42015 -1 3238 0 0 0 0 2 5 0.00000 -1.00000 0.00000 0.00000 0.00000 0 -1 0 0 0 0 0 0 0 1 0.00000 0.58429
184 635 9 28125 38895 98402 2 -0.68961 -1 -1 0 0 0 0 0 0 0.00000 -1.00000 0.00000 0.00000 0.00000 0 -1 0 0 0 0 0 0 0 0 0.00000 0.00000
188 922 9 40090 47335 127826 2 -1.31190 -1 -1 0 0 0 0 0 0 0.00000 -1.00000 0.00000 0.00000 0.00000 0 -1 0 0 0 0 0 0 0 0 0.00000 0.00000
200 346 9 23984 36956 208263 2 -1.11688 -1 -1 0 0 0 0 0 0 0.00000 -1.00000 0.00000 0.00000 0.00000 0 -1 0 0 0 0 0 0 0 0 0.00000 0.00000
200 851 4 21200 36985 156826 1 -0.80685 -1 -1 0 0 0 0 0 0 0.00000 -1.00000 0.00000 0.00000 0.00000 0 -1 0 0 0 0 0 0 0 0 0.00000 0.00000
201 1022 9 41138 49882 139102 2 -0.67637 -1 -1 0 0 0 0 0 0 0.00000 -1.00000 0.00000 0.00000 0.00000 0 -1 0 0 0 0 0 0 0 0 0.00000 0.00000
212 434 9 35081 43227 104938 2 -1.72066 -1 -1 0 0 0 0 0 0 0.00000 -1.00000 0.00000 0.00000 0.00000 0 -1 0 0 0 0 0 0 0 0 0.00000 0.00000
229 665 9 3195 4167 169744 2 -1.62493 -1 -1 0 0 0 0 0 0 0.00000 -1.00000 0.00000 0.00000 0.00000 0 -1 0 0 0 0 0 0 0 0 0.00000 0.00000
234 227 4 16911 33598 38236 1 0.77226 3815 -1 0 0 2 5 0 0 3.27226 13.39689 0.55527 1.49106 1.49106 1 3 0 1 0 1 1 4 1 0 0.77226 0.00000
235 439 4 14148 3881 4554 1 -0.11946 3069 254 0 0 2 4 2 4 2.54426 5.69251 -3.36582 -2.57430 -2.57430 1 0 1 0 0 0 0 0 2 2 0.54426 2.39889
239 563 4 20951 37243 46119 1 -0.06654 -1 -1 0 0 0 0 0 0 0.00000 -1.00000 0.00000 0.00000 0.00000 0 -1 0 0 0 0 0 0 0 0 0.00000 0.00000
248 442 4 18624 42905 60131 1 2.35633 3913 3913 1 1 2 5 2 5 4.85633 10.63992 1.01857 2.49999 2.49999 1 3 0 1 0 1 1 4 0 0 0.00000 0.00000
248 558 9 36308 43563 104770 2 0.57571 5161 5161 1 1 2 4 2 4 2.57571 12.52628 -0.95589 -0.17435 -0.17435 1 0 0 1 0 1 1 9 0 0 0.00000 0.00000
248 1192 4 21759 40286 51201 1 -0.55470 -1 -1 0 0 0 0 0 0 0.00000 -1.00000 0.00000 0.00000 0.00000 0 -1 0 0 0 0 0 0 0 0 0.00000 0.00000
257 878 9 33844 39210 91100 2 -0.61432 -1 -1 0 0 0 0 0 0 0.00000 -1.00000 0.00000 0.00000 0.00000 0 -1 0 0 0 0 0 0 0 0 0.00000 0.00000
268 671 9 615 2033 62022 2 -2.41869 -1 -1 0 0 0 0 0 0 0.00000 -1.00000 0.00000 0.00000 0.00000 0 -1 0 0 0 0 0 0 0 0 0.00000 0.00000
275 213 9 24378 35532 91738 2 -0.44921 -1 3364 0 0 0 0 2 5 0.00000 -1.00000 0.00000 0.00000 0.00000 0 -1 0 0 0 0 0 0 0 1 0.00000 0.11277
275 270 4 13267 41455 63868 1 1.81925 3127 3127 1 1 2 5 2 5 4.31925 10.36308 -0.65062 -0.40600 -0.40600 1 3 0 1 0 1 1 4 0 0 0.00000 0.00000
289 1077 9 3510 5332 66575 2 0.47564 409 411 0 0 2 4 2 4 2.77427 12.10755 -5.50264 -4.46145 -4.46145 1 0 1 0 0 0 0 0 2 2 0.77427 0.24715
293 1180 9 4382 5338 76132 2 0.52298 445 445 1 1 2 4 2 4 2.52298 14.68757 -2.94153 -2.82011 -2.82011 1 0 1 0 0 0 0 0 0 0 0.00000 0.00000
