# events parsed=1000  completed=992  CRASHED=8 (0.8%)
# crashed event indices: 5 85 217 306 496 515 646 972

## per-stage ms/evt over the 992 completed events
stage         mean    median       p90       p99       max
Hits          1.18      1.17      1.45      1.65      1.85
MD            1.01      0.98      1.38      1.74      2.31
LS            3.20      2.94      5.07      7.70     10.81
T3           54.23     37.78    117.24    282.39    381.38
Graph      2934.40   1156.23   7277.52  25960.12  33382.59
pLS           0.40      0.33      0.77      1.40      2.59
Chain        19.30     10.24     43.44    135.53    313.69
TC            0.37      0.37      0.65      0.97      1.39
Reset        26.99     10.48     68.84    233.52    337.73
Total      3014.10   1213.42   7400.93  26459.61  33908.11

## graph size distribution (all events with a [CHAIN] line, crashers included)
nHits    mean         7818  median       7685  p90      11254  p99      13978  max      15721
nMDalloc mean         2565  median       2506  p90       3743  p99       4687  max       5519
mdUsed   mean          977  median        940  p90       1458  p99       1840  max       2210
nT3      mean        81663  median      58755  p90     175836  p99     397944  max     601655
E1       mean     18410974  median    6728747  p90   43482099  p99  175608057  max  382407452
E2       mean      1047708  median     536928  p90    2438586  p99    8134950  max   16522641
E        mean     19458682  median    7302680  p90   45606130  p99  184335732  max  398930093

## the 4 GiB ChainEdges wall (E > 204522252 rows)
#   events over the wall: 8 / 1000 (0.80%)
#   evt 972  nT3=601655   E1=382407452   E2=16522641  E=398930093   needs   8377.5 MB  OVER WALL / crash
#   evt 85   nT3=457806   E1=305912527   E2=9182795   E=315095322   needs   6617.0 MB  OVER WALL / crash
#   evt 646  nT3=475090   E1=293917028   E2=11581431  E=305498459   needs   6415.5 MB  OVER WALL / crash
#   evt 496  nT3=471250   E1=291824409   E2=12380364  E=304204773   needs   6388.3 MB  OVER WALL / crash
#   evt 217  nT3=440654   E1=236144098   E2=10147299  E=246291397   needs   5172.1 MB  OVER WALL / crash
#   evt 5    nT3=377082   E1=214163878   E2=7164830   E=221328708   needs   4647.9 MB  OVER WALL / crash
#   evt 306  nT3=476399   E1=210467457   E2=8967486   E=219434943   needs   4608.1 MB  OVER WALL / crash
#   evt 515  nT3=424028   E1=207137730   E2=9274888   E=216412618   needs   4544.7 MB  OVER WALL / crash
#   evt 776  nT3=451147   E1=183892458   E2=8465076   E=192357534   needs   4039.5 MB  
#   evt 42   nT3=373575   E1=181359773   E2=7177710   E=188537483   needs   3959.3 MB  
#   evt 744  nT3=453511   E1=175549959   E2=8743331   E=184293290   needs   3870.2 MB  
#   evt 725  nT3=392711   E1=174529531   E2=6121681   E=180651212   needs   3793.7 MB  

## E1 scaling law
#   mean-field prediction E1 ~ nT3^2 / nMDkeysUsed:
#     E1 / (nT3^2/K):  median 1.845  p10 1.237  p90 2.760   (1.0 = uniform degrees)
#   E1 = 4.822e-02 * nT3^1.709    (log-log R^2 = 0.965)
#   E1 = 4.657e+02 * nHits^1.063    (log-log R^2 = 0.052)
#   E1 = 3.131e+01 * nMDalloc^1.563    (log-log R^2 = 0.118)
#   E1 = 3.754 * (nT3^2/K)^0.952    (log-log R^2 = 0.964)

## Graph ms vs E (the chain block is edge-count bound)
#   Graph_ms = 0.1741 us/edge * E + -90.64 ms   (corr 0.9998)

## peak RSS
#   median 494 MB  p90 1226 MB  max 4293 MB

csv,evt,crash,nHits,nMDalloc,mdUsed,nT3,E1,E2,E,edgeMB,memMB,rssMB,T3ms,Graphms,Chainms,Totalms
csv,28,0,9552,3320,1423,225540,60942619,3469927,64412546,1352.7,1433.4,1670.5,148.88,11287.58,73.06,11519.10
csv,29,0,10106,3465,1642,167001,30458173,1556239,32014412,672.3,749.6,1012.8,149.68,5370.01,29.85,5558.24
csv,30,0,7440,2766,1102,129569,27002695,1554148,28556843,599.7,657.3,934.1,106.60,4817.68,31.77,4963.03
csv,31,0,13176,4418,1644,84129,18643606,1062485,19706091,413.8,444.1,744.3,50.29,3172.37,17.35,3249.26
csv,32,0,5489,2010,862,177181,42345552,2712021,45057573,946.2,997.5,1270.2,89.11,7697.09,28.14,7820.48
csv,33,0,9546,3464,959,10393,263614,44249,307863,6.5,14.1,336.5,7.64,49.77,3.73,66.64
csv,34,0,7185,2150,738,9333,236561,45568,282129,5.9,12.3,345.3,6.09,46.68,5.97,62.96
csv,35,0,7398,2183,763,55767,7302886,618226,7921112,166.3,185.5,507.2,27.32,1266.84,6.44,1305.61
csv,36,0,3646,1056,339,11448,505632,83049,588681,12.4,18.8,352.8,5.54,91.05,1.29,101.18
csv,37,0,5530,1888,572,12808,675207,73582,748789,15.7,23.9,356.4,9.38,116.67,4.41,134.91
csv,38,0,4414,1445,547,70990,13216965,893777,14110742,296.3,318.6,633.2,30.06,2250.23,5.60,2289.56
csv,39,0,10254,3439,1968,154968,29278873,1469686,30748559,645.7,729.1,995.7,168.58,5203.09,61.32,5444.33
csv,40,0,13359,4332,1066,61112,10566494,687951,11254445,236.3,259.4,577.4,36.05,1836.41,9.27,1889.29
csv,41,0,8633,2880,844,85380,17080454,957407,18037861,378.8,413.9,720.2,57.89,2946.63,19.07,3030.13
csv,42,0,13244,4629,1938,373575,181359773,7177710,188537483,3959.3,4096.7,4200.3,358.99,33175.62,83.85,33630.49
csv,43,0,5770,1976,723,58791,6781878,608135,7390013,155.2,176.6,501.1,31.76,1176.18,4.93,1217.04
csv,44,0,10371,3273,1034,94320,18475645,1359945,19835590,416.5,448.6,757.7,49.99,3240.96,17.00,3314.29
csv,45,0,6896,2140,925,36130,3159872,277139,3437011,72.2,88.0,413.8,20.10,537.55,5.69,568.09
csv,46,0,3134,1240,521,37903,2934571,320516,3255087,68.4,84.3,411.3,21.90,517.26,3.81,546.68
csv,47,0,8999,2993,1120,131435,26632103,2069611,28701714,602.7,642.1,941.7,60.09,4753.37,19.28,4838.97
csv,48,0,8696,2918,1265,41878,2191642,239373,2431015,51.1,75.7,401.4,39.08,386.69,7.95,440.38
csv,49,0,8736,2952,1035,50112,7185048,524089,7709137,161.9,181.6,505.8,26.76,1225.58,13.30,1271.54
csv,50,0,6594,2154,610,84921,16644078,1013798,17657876,370.8,398.6,707.6,41.91,2848.43,8.79,2903.85
csv,51,0,10255,3697,1498,129138,27866658,1458587,29325245,615.8,674.3,955.9,113.24,4884.69,52.29,5061.38
csv,52,0,10236,2997,1538,70428,9665519,690173,10355692,217.5,255.1,565.8,61.50,1699.29,13.70,1782.24
csv,53,0,4622,1334,435,17133,1050331,138418,1188749,25.0,33.4,364.7,8.74,189.95,3.43,205.59
csv,54,0,10846,3908,1067,89960,15843051,1011692,16854743,353.9,394.0,701.4,67.90,2700.16,15.69,2791.82
csv,55,0,4740,1663,842,60724,8598094,571554,9169648,192.6,215.5,534.2,35.08,1462.42,10.19,1512.26
