csv,label,evt,nT3,nMD,nMDused,nLS,E1,E2,maxDegIn,maxDegOut,keep8,keep16,keep32,keep64,keep128,keep256,keep512,keep1024,keep2048
csv,PU200,105,30275,17608,16017,28394,38244,22213,72,84,25797,32777,37018,38170,38244,38244,38244,38244,38244
csv,PU200,106,33050,19995,18223,32201,40574,23826,69,77,29645,36944,39942,40535,40574,40574,40574,40574,40574
csv,PU200,107,47981,24357,22310,43735,84374,36996,214,129,45902,66261,79791,83793,84369,84374,84374,84374,84374
csv,PU200,108,76082,29015,26850,61951,245056,72990,107,411,79380,125860,173413,230451,242136,244066,245056,245056,245056
csv,PU200,109,31131,18673,17053,29452,55012,25734,80,83,28268,40247,51559,54958,55012,55012,55012,55012,55012
csv,PU200,110,42859,22810,20906,39571,72541,31845,108,82,39000,54990,67246,72229,72541,72541,72541,72541,72541
csv,PU200,111,36726,20155,18497,34014,57480,30518,61,213,34143,47236,55030,56698,57372,57480,57480,57480,57480
csv,PU200,112,50334,24573,22500,45006,85992,39317,167,148,49432,69123,79115,83437,85797,85992,85992,85992,85992
csv,PU200,113,55324,26988,24659,50761,92293,40533,67,78,55706,77353,88319,92116,92293,92293,92293,92293,92293
csv,PU200,114,46400,24622,22470,43087,82599,37288,110,170,42512,58053,71213,79653,82439,82599,82599,82599,82599
csv,PU200,115,47506,23667,21762,43713,75821,35305,88,98,44027,61910,73026,75670,75821,75821,75821,75821,75821
csv,PU200,116,53929,26825,24627,49152,80740,41190,89,164,49954,66966,75615,79413,80713,80740,80740,80740,80740
csv,PU200,117,37807,20959,19242,35008,53199,27308,72,228,32271,42262,48383,51752,52923,53199,53199,53199,53199
csv,PU200,118,35270,20049,18496,33937,48650,26639,101,140,33747,44227,47713,48498,48626,48650,48650,48650,48650
csv,PU200,119,41969,21135,19386,37386,67189,30857,500,120,36089,50232,60303,65750,67189,67189,67189,67189,67189
csv,PU200,120,58588,26678,24387,52447,93992,43821,124,241,54063,76344,88698,92781,93891,93992,93992,93992,93992
csv,PU200,121,36617,21358,19451,35663,48336,25637,64,80,33976,43419,46910,48224,48336,48336,48336,48336,48336
csv,PU200,122,43854,24055,21968,41404,59741,30893,81,257,38445,48966,54877,57816,58976,59736,59741,59741,59741
csv,PU200,123,29645,18040,16533,28024,35927,20570,48,134,25121,31434,34344,35615,35915,35927,35927,35927,35927
csv,PU200,124,43911,22445,20674,39516,71197,33560,118,232,38827,51864,60707,67946,70874,71197,71197,71197,71197
csv,PU200,125,59109,27973,25821,53859,122696,46486,96,120,64003,89480,106386,117566,122696,122696,122696,122696,122696
csv,PU200,126,57516,28393,26034,52300,84227,41045,76,166,52899,71527,79539,83171,84163,84227,84227,84227,84227
csv,PU200,127,59030,29001,26556,54846,110141,47308,114,141,57658,83753,102963,109139,110063,110141,110141,110141,110141
csv,PU200,128,33679,18801,17210,31026,49550,25181,97,201,30940,40481,45905,47947,49024,49550,49550,49550,49550
csv,PU200,129,36633,18433,16887,31605,190325,45390,166,196,31054,46137,70535,125487,178991,190325,190325,190325,190325
csv,PU200,130,52843,26225,24036,48375,91559,40929,102,219,49425,71208,86256,90370,91200,91559,91559,91559,91559
csv,PU200,131,78297,34695,31985,70281,162028,62969,161,133,85136,125652,150907,159661,162028,162028,162028,162028,162028
csv,PU200,132,23451,15060,13661,23004,24778,15749,93,96,18504,22231,23890,24708,24778,24778,24778,24778,24778
csv,PU200,133,46789,25381,23264,44453,68329,32877,109,84,44058,57190,64768,68213,68329,68329,68329,68329,68329
csv,PU200,134,47617,23497,21495,42967,72370,33684,124,141,44026,59751,67913,70950,72313,72370,72370,72370,72370
csv,PU200,135,31414,17614,16138,28956,61032,25380,69,103,27195,36815,47982,59927,61032,61032,61032,61032,61032
csv,PU200,136,51120,25549,23375,47371,79375,36940,71,117,49050,66116,74673,78854,79375,79375,79375,79375,79375
csv,PU200,137,34526,20691,18910,33595,42901,24990,56,81,30731,38559,42092,42901,42901,42901,42901,42901,42901
csv,PU200,138,37342,18441,16878,31793,163667,45327,153,98,34533,57668,99377,146805,162514,163667,163667,163667,163667
csv,PU200,139,43930,22698,20686,39750,105693,37830,108,137,41344,60023,78858,95561,105589,105693,105693,105693,105693
csv,PU200,140,48262,22517,20833,41758,155451,52105,105,141,45779,73083,108471,144748,155425,155451,155451,155451,155451
csv,PU200,141,58861,28346,26085,54674,104537,45120,102,128,60688,88268,101974,104379,104537,104537,104537,104537,104537
csv,PU200,142,26932,16532,15044,25945,39607,19822,86,113,24553,33172,38155,39402,39607,39607,39607,39607,39607
csv,PU200,143,41192,23616,21494,40342,58573,29733,100,311,38681,50962,56564,57330,57658,58298,58573,58573,58573
csv,PU200,144,74754,30187,27826,62514,208127,70778,161,202,76038,121309,164854,188796,205578,208127,208127,208127,208127
csv,PU200,145,55500,27120,24801,49617,113829,43820,114,213,52212,76332,96230,109626,113630,113829,113829,113829,113829
csv,PU200,146,77728,33518,30859,67499,151654,62177,95,223,74852,109355,133094,144266,149717,151654,151654,151654,151654
csv,PU200,147,41999,23129,21097,38822,71501,31971,143,218,37501,50329,60314,67464,71305,71501,71501,71501,71501
csv,PU200,148,40694,23350,21241,39224,44867,26546,140,60,33898,41613,44613,44867,44867,44867,44867,44867,44867
csv,PU200,149,27608,16672,15209,26594,38537,20718,63,96,23678,30837,37202,38535,38537,38537,38537,38537,38537

# pooled JET: E1=105209870  max per-MD degree seen=1456
#   cap=8     keeps        79841 (0.000759 of E1)  removes 0.999241
#   cap=16    keeps       293858 (0.002793 of E1)  removes 0.997207
#   cap=32    keeps      1080843 (0.010273 of E1)  removes 0.989727
#   cap=64    keeps      3883468 (0.036912 of E1)  removes 0.963088
#   cap=128   keeps     12968608 (0.123264 of E1)  removes 0.876736
#   cap=256   keeps     35352833 (0.336022 of E1)  removes 0.663978
#   cap=512   keeps     74371156 (0.706884 of E1)  removes 0.293116
#   cap=1024  keeps    101991497 (0.969410 of E1)  removes 0.030590
#   cap=2048  keeps    105209870 (1.000000 of E1)  removes 0.000000
# pooled PU200: E1=12413824  max per-MD degree seen=554
#   cap=8     keeps      6122665 (0.493213 of E1)  removes 0.506787
#   cap=16    keeps      8475294 (0.682730 of E1)  removes 0.317270
#   cap=32    keeps     10223812 (0.823583 of E1)  removes 0.176417
#   cap=64    keeps     11434943 (0.921146 of E1)  removes 0.078854
#   cap=128   keeps     12167813 (0.980182 of E1)  removes 0.019818
#   cap=256   keeps     12404621 (0.999259 of E1)  removes 0.000741
#   cap=512   keeps     12413824 (1.000000 of E1)  removes 0.000000
#   cap=1024  keeps     12413824 (1.000000 of E1)  removes 0.000000
#   cap=2048  keeps     12413824 (1.000000 of E1)  removes 0.000000
