====================================================================================================
FILE fin_ref/r_FINBASE.root (300 evts)
  barrel      pT5cls  n/evt  226.89 mean 11.266 | 10: 36.7%  12: 63.3%
  barrel      T5      n/evt  155.39 mean 11.102 | 10: 44.9%  12: 55.1%
  barrel      T4      n/evt   10.11 mean  8.000 | 8:100.0%
  barrel      pT3cls  n/evt   53.68 mean  6.000 | 6:100.0%
  barrel      pLS     n/evt   31.80 mean  0.000 | 0:100.0%
  transition  pT5cls  n/evt  112.53 mean 11.048 | 10: 51.5%  12: 44.6%  14:  3.9%
  transition  T5      n/evt  108.65 mean 10.841 | 10: 59.6%  12: 38.7%  14:  1.7%
  transition  T4      n/evt    2.66 mean  8.000 | 8:100.0%
  transition  pT3cls  n/evt   17.71 mean  6.000 | 6:100.0%
  transition  pLS     n/evt   16.43 mean  0.000 | 0:100.0%
  endcap      pT5cls  n/evt  191.78 mean 11.134 | 10: 49.6%  12: 44.0%  14:  6.3%
  endcap      T5      n/evt   64.38 mean 10.980 | 10: 59.1%  12: 32.7%  14:  8.1%
  endcap      T4      n/evt   13.24 mean  8.000 | 8:100.0%
  endcap      pT3cls  n/evt   21.93 mean  6.000 | 6:100.0%
  endcap      pLS     n/evt  573.86 mean  0.000 | 0:100.0%
====================================================================================================
FILE rebase_ref/rb_base300.root (300 evts)
  barrel      pT5cls  n/evt  317.65 mean 11.627 | 10: 18.7%  12: 81.3%
  barrel      T5      n/evt   48.25 mean 11.250 | 10: 37.5%  12: 62.5%
  barrel      T4      n/evt   12.60 mean  8.000 | 8:100.0%
  barrel      pT3cls  n/evt   60.09 mean  6.000 | 6:100.0%
  barrel      pLS     n/evt   24.30 mean  0.000 | 0:100.0%
  transition  pT5cls  n/evt  174.04 mean 11.223 | 10: 38.9%  12: 61.0%
  transition  T5      n/evt   35.37 mean 10.998 | 10: 50.1%  12: 49.9%
  transition  T4      n/evt    5.66 mean  8.000 | 8:100.0%
  transition  pT3cls  n/evt   21.11 mean  6.000 | 6:100.0%
  transition  pLS     n/evt   14.84 mean  0.000 | 0:100.0%
  endcap      pT5cls  n/evt  214.89 mean 11.681 | 10: 21.1%  12: 73.7%  14:  5.2%
  endcap      T5      n/evt   28.30 mean 11.542 | 10: 32.1%  12: 58.7%  14:  9.2%
  endcap      T4      n/evt   13.26 mean  8.000 | 8:100.0%
  endcap      pT3cls  n/evt   23.27 mean  6.000 | 6:100.0%
  endcap      pLS     n/evt  585.52 mean  0.000 | 0:100.0%
